parity,mac,cm_cost
1,1,306.39
1,2,364.51
1,3,406.38
1,4,408.67
1,5,402.39
1,6,385.44
1,7,347.97
1,8,310.69
1,9,275.84
1,10,245.69
1,11,198.57
1,12,189.37
1,13,180.32
1,14,171.49
1,15,162.92
1,16,154.66
1,17,146.72
1,18,165.81
1,19,170.57
1,20,122.55
2,1,381.65
2,2,437.93
2,3,466.82
2,4,441.54
2,5,384.72
2,6,330.58
2,7,283.78
2,8,244.86
2,9,214.61
2,10,191.61
2,11,176.51
2,12,162.23
2,13,148.90
2,14,136.52
2,15,125.05
2,16,114.48
2,17,104.76
2,18,95.83
2,19,113.71
2,20,84.11
3,1,388.11
3,2,451.70
3,3,474.68
3,4,430.91
3,5,372.19
3,6,316.99
3,7,267.86
3,8,232.74
3,9,211.72
3,10,193.18
3,11,175.88
3,12,159.64
3,13,144.63
3,14,130.80
3,15,118.14
3,16,106.57
3,17,96.04
3,18,86.48
3,19,101.98
3,20,82.38
4,1,401.01
4,2,466.43
4,3,489.46
4,4,450.40
4,5,389.71
4,6,332.88
4,7,281.03
4,8,243.64
4,9,220.12
4,10,200.92
4,11,183.01
4,12,166.20
4,13,150.64
4,14,136.33
4,15,123.21
4,16,111.23
4,17,100.32
4,18,90.41
4,19,106.51
4,20,86.58
5,1,403.86
5,2,468.88
5,3,488.22
5,4,445.26
5,5,385.82
5,6,329.24
5,7,279.80
5,8,244.47
5,9,223.64
5,10,204.16
5,11,186.01
5,12,168.95
5,13,153.17
5,14,138.65
5,15,125.34
5,16,113.19
5,17,102.12
5,18,92.07
5,19,108.27
5,20,88.72
6,1,401.14
6,2,464.34
6,3,478.33
6,4,427.17
6,5,371.34
6,6,317.43
6,7,273.21
6,8,245.07
6,9,224.56
6,10,205.12
6,11,187.03
6,12,170.01
6,13,154.26
6,14,139.76
6,15,126.48
6,16,114.35
6,17,103.31
6,18,93.27
6,19,109.68
6,20,90.86
7,1,392.19
7,2,451.98
7,3,455.45
7,4,405.60
7,5,353.03
7,6,303.78
7,7,265.36
7,8,242.56
7,9,222.31
7,10,203.03
7,11,185.10
7,12,168.22
7,13,152.60
7,14,138.23
7,15,125.06
7,16,113.03
7,17,102.08
7,18,92.13
7,19,108.00
7,20,90.48
8,1,380.85
8,2,436.14
8,3,426.28
8,4,381.69
8,5,333.11
8,6,290.45
8,7,260.66
8,8,238.94
8,9,219.01
8,10,200.05
8,11,182.43
8,12,165.82
8,13,150.45
8,14,136.31
8,15,123.36
8,16,111.53
8,17,100.75
8,18,90.96
8,19,106.40
8,20,90.36
9,1,365.07
9,2,408.35
9,3,396.70
9,4,355.74
9,5,313.87
9,6,280.18
9,7,254.76
9,8,234.14
9,9,214.64
9,10,196.08
9,11,178.86
9,12,162.60
9,13,147.56
9,14,133.72
9,15,121.04
9,16,109.46
9,17,98.92
9,18,89.34
9,19,104.25
9,20,89.93
10,1,336.66
10,2,369.72
10,3,359.68
10,4,325.36
10,5,293.12
10,6,265.74
10,7,245.18
10,8,225.81
10,9,207.02
10,10,189.14
10,11,172.58
10,12,156.92
10,13,142.43
10,14,129.10
10,15,116.89
10,16,105.74
10,17,95.58
10,18,86.35
10,19,100.51
10,20,88.41
11,1,301.82
11,2,336.12
11,3,327.56
11,4,301.97
11,5,275.98
11,6,254.72
11,7,235.77
11,8,217.16
11,9,199.11
11,10,181.93
11,11,166.04
11,12,151.00
11,13,137.08
11,14,124.27
11,15,112.54
11,16,101.82
11,17,92.06
11,18,83.20
11,19,96.56
11,20,86.81
12,1,272.28
12,2,307.98
12,3,302.52
12,4,282.39
12,5,262.17
12,6,244.44
12,7,226.53
12,8,208.66
12,9,191.32
12,10,174.82
12,11,159.59
12,12,145.15
12,13,131.78
12,14,119.48
12,15,108.21
12,16,97.92
12,17,88.55
12,18,80.03
12,19,72.32
12,20,-54.86
