parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
0,0,9,0,5470.03,5470.03,4334.96,1135.07,keep
1,1,0,0,5012.46,5012.46,4290.45,722.00,keep
1,1,0,1,4635.93,4635.93,4220.32,415.61,keep
1,2,0,0,5032.68,5032.68,4245.02,787.66,keep
1,2,0,1,4614.23,4614.23,4191.08,423.15,keep
1,3,0,0,5010.70,5010.70,4225.97,784.74,keep
1,3,0,1,4557.02,4557.02,4178.65,378.36,keep
1,4,0,0,4906.95,4906.95,4218.67,688.28,keep
1,4,0,1,4453.30,4453.30,4173.69,279.61,keep
1,4,1,0,5223.12,5223.12,4218.67,1004.45,keep
1,4,1,1,4814.48,4814.48,4173.69,640.79,keep
1,5,0,0,4793.72,4793.72,4217.04,576.68,keep
1,5,0,1,4346.52,4346.52,4172.23,174.29,keep
1,5,1,0,5152.50,5152.50,4217.04,935.46,keep
1,5,1,1,4749.88,4749.88,4172.23,577.64,keep
1,5,2,0,5209.74,5209.74,4217.04,992.70,keep
1,5,2,1,4807.04,4807.04,4172.23,634.81,keep
1,6,0,0,4677.19,4677.19,4218.21,458.98,keep
1,6,0,1,4246.00,4246.00,4172.46,73.54,keep
1,6,1,0,5075.42,5075.42,4218.21,857.21,keep
1,6,1,1,4681.14,4681.14,4172.46,508.67,keep
1,6,2,0,5142.88,5142.88,4218.21,924.67,keep
1,6,2,1,4748.49,4748.49,4172.46,576.02,keep
1,6,3,0,5203.23,5203.23,4218.21,985.02,keep
1,6,3,1,4809.02,4809.02,4172.46,636.56,keep
1,7,0,0,4562.91,4562.91,4220.81,342.10,keep
1,7,0,1,4173.52,4167.65,4173.52,-5.87,replace
1,7,1,0,4994.51,4994.51,4220.81,773.70,keep
1,7,1,1,4610.03,4610.03,4173.52,436.52,keep
1,7,2,0,5072.02,5072.02,4220.81,851.22,keep
1,7,2,1,4687.40,4687.40,4173.52,513.88,keep
1,7,3,0,5143.16,5143.16,4220.81,922.35,keep
1,7,3,1,4758.66,4758.66,4173.52,585.14,keep
1,7,4,0,5206.77,5206.77,4220.81,985.96,keep
1,7,4,1,4823.31,4823.31,4173.52,649.80,keep
1,8,0,0,4455.56,4455.56,4224.14,231.42,keep
1,8,0,1,4174.99,4095.72,4174.99,-79.27,replace
1,8,1,0,4911.76,4911.76,4224.14,687.62,keep
1,8,1,1,4538.00,4538.00,4174.99,363.01,keep
1,8,2,0,4999.07,4999.07,4224.14,774.94,keep
1,8,2,1,4625.13,4625.13,4174.99,450.13,keep
1,8,3,0,5080.81,5080.81,4224.14,856.67,keep
1,8,3,1,4706.93,4706.93,4174.99,531.94,keep
1,8,4,0,5155.80,5155.80,4224.14,931.66,keep
1,8,4,1,4782.85,4782.85,4174.99,607.86,keep
1,8,5,0,5222.80,5222.80,4224.14,998.66,keep
1,8,5,1,4853.64,4853.64,4174.99,678.65,keep
1,9,0,0,4361.09,4361.09,4227.84,133.24,keep
1,9,0,1,4176.67,4034.08,4176.67,-142.59,replace
1,9,1,0,4828.65,4828.65,4227.84,600.81,keep
1,9,1,1,4466.12,4466.12,4176.67,289.45,keep
1,9,2,0,4925.48,4925.48,4227.84,697.63,keep
1,9,2,1,4562.71,4562.71,4176.67,386.04,keep
