parity,mac,cm_cost
1,1,308.65
1,2,351.90
1,3,378.29
1,4,382.40
1,5,381.80
1,6,378.22
1,7,372.29
1,8,363.56
1,9,348.95
1,10,316.36
1,11,259.92
1,12,242.68
1,13,228.15
1,14,216.54
1,15,207.98
1,16,202.61
1,17,200.55
1,18,201.93
1,19,181.90
1,20,95.62
2,1,372.85
2,2,416.67
2,3,438.96
2,4,429.71
2,5,414.45
2,6,394.73
2,7,368.48
2,8,323.90
2,9,280.44
2,10,242.06
2,11,193.06
2,12,178.87
2,13,168.60
2,14,159.05
2,15,150.21
2,16,142.06
2,17,134.57
2,18,137.76
2,19,141.22
2,20,63.96
3,1,381.92
3,2,433.24
3,3,456.78
3,4,444.61
3,5,424.95
3,6,399.14
3,7,361.61
3,8,314.14
3,9,271.92
3,10,236.59
3,11,193.72
3,12,179.96
3,13,168.36
3,14,157.68
3,15,147.90
3,16,138.96
3,17,130.83
3,18,126.23
3,19,134.66
3,20,60.93
4,1,390.96
4,2,443.35
4,3,465.73
4,4,452.93
4,5,432.52
4,6,406.26
4,7,369.73
4,8,321.54
4,9,278.75
4,10,242.95
4,11,200.41
4,12,184.49
4,13,172.47
4,14,161.41
4,15,151.27
4,16,142.01
4,17,133.58
4,18,130.25
4,19,137.41
4,20,63.40
5,1,392.70
5,2,445.12
5,3,465.93
5,4,452.21
5,5,430.64
5,6,402.57
5,7,361.58
5,8,314.99
5,9,274.37
5,10,241.24
5,11,203.12
5,12,186.39
5,13,174.19
5,14,162.97
5,15,152.68
5,16,143.28
5,17,134.72
5,18,131.69
5,19,138.38
5,20,64.51
6,1,389.64
6,2,441.21
6,3,460.18
6,4,445.52
6,5,422.83
6,6,392.72
6,7,345.40
6,8,301.83
6,9,264.71
6,10,235.35
6,11,202.72
6,12,186.35
6,13,174.17
6,14,162.96
6,15,152.69
6,16,143.30
6,17,134.76
6,18,131.08
6,19,138.29
6,20,64.96
7,1,382.90
7,2,433.34
7,3,450.04
7,4,434.45
7,5,409.76
7,6,372.51
7,7,327.39
7,8,287.41
7,9,254.03
7,10,227.78
7,11,200.92
7,12,185.22
7,13,173.13
7,14,162.01
7,15,151.81
7,16,142.50
7,17,134.02
7,18,129.65
7,19,137.18
7,20,64.46
8,1,373.93
8,2,422.75
8,3,436.75
8,4,420.31
8,5,393.65
8,6,349.06
8,7,307.88
8,8,271.87
8,9,241.85
8,10,219.84
8,11,197.71
8,12,183.20
8,13,171.30
8,14,160.35
8,15,150.31
8,16,141.14
8,17,132.80
8,18,127.30
8,19,135.61
8,20,63.72
9,1,363.16
9,2,409.91
9,3,420.22
9,4,401.61
9,5,366.28
9,6,326.00
9,7,288.97
9,8,256.40
9,9,230.50
9,10,212.19
9,11,193.63
9,12,180.56
9,13,168.90
9,14,158.18
9,15,148.35
9,16,139.37
9,17,131.19
9,18,124.40
9,19,133.63
9,20,62.70
10,1,347.81
10,2,391.69
10,3,397.44
10,4,373.15
10,5,336.72
10,6,300.85
10,7,267.69
10,8,239.78
10,9,218.40
10,10,204.09
10,11,188.19
10,12,176.05
10,13,164.81
10,14,154.47
10,15,145.00
10,16,136.34
10,17,128.46
10,18,121.30
10,19,130.47
10,20,60.81
11,1,332.17
11,2,372.98
11,3,373.08
11,4,343.58
11,5,310.99
11,6,278.75
11,7,250.04
11,8,226.59
11,9,208.90
11,10,196.40
11,11,183.07
11,12,171.40
11,13,160.59
11,14,150.65
11,15,141.53
11,16,133.21
11,17,125.63
11,18,118.75
11,19,127.20
11,20,58.85
12,1,316.67
12,2,353.69
12,3,344.28
12,4,318.34
12,5,289.15
12,6,261.28
12,7,236.94
12,8,217.09
12,9,202.66
12,10,189.84
12,11,178.08
12,12,166.85
12,13,156.46
12,14,146.90
12,15,138.15
12,16,130.15
12,17,122.86
12,18,116.24
12,19,110.24
12,20,20.51
