parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
0,0,9,0,1971.79,1971.79,1004.68,967.11,keep
1,1,0,0,2052.73,2052.73,950.91,1101.82,keep
1,1,0,1,1752.27,1752.27,959.10,793.17,keep
1,2,0,0,2012.49,2012.49,896.00,1116.48,keep
1,2,0,1,1688.36,1688.36,923.77,764.59,keep
1,3,0,0,1954.97,1954.97,872.98,1081.99,keep
1,3,0,1,1612.46,1612.46,908.76,703.70,keep
1,4,0,0,1870.67,1870.67,864.17,1006.51,keep
1,4,0,1,1526.87,1526.87,902.76,624.11,keep
1,4,1,0,2046.66,2046.66,864.17,1182.49,keep
1,4,1,1,1731.61,1731.61,902.76,828.86,keep
1,5,0,0,1777.90,1777.90,862.20,915.71,keep
1,5,0,1,1434.90,1434.90,901.00,533.90,keep
1,5,1,0,1995.75,1995.75,862.20,1133.56,keep
1,5,1,1,1685.34,1685.34,901.00,784.34,keep
1,5,2,0,2001.16,2001.16,862.20,1138.96,keep
1,5,2,1,1690.81,1690.81,901.00,789.82,keep
1,6,0,0,1677.27,1677.27,863.61,813.66,keep
1,6,0,1,1336.71,1336.71,901.27,435.43,keep
1,6,1,0,1941.87,1941.87,863.61,1078.25,keep
1,6,1,1,1637.39,1637.39,901.27,736.12,keep
1,6,2,0,1954.28,1954.28,863.61,1090.66,keep
1,6,2,1,1649.84,1649.84,901.27,748.56,keep
1,6,3,0,1959.97,1959.97,863.61,1096.36,keep
1,6,3,1,1655.78,1655.78,901.27,754.51,keep
1,7,0,0,1569.92,1569.92,866.75,703.17,keep
1,7,0,1,1233.43,1233.43,902.55,330.88,keep
1,7,1,0,1885.99,1885.99,866.75,1019.24,keep
1,7,1,1,1588.33,1588.33,902.55,685.78,keep
1,7,2,0,1905.28,1905.28,866.75,1038.53,keep
1,7,2,1,1607.63,1607.63,902.55,705.08,keep
1,7,3,0,1918.36,1918.36,866.75,1051.62,keep
1,7,3,1,1620.92,1620.92,902.55,718.37,keep
1,7,4,0,1924.35,1924.35,866.75,1057.61,keep
1,7,4,1,1627.74,1627.74,902.55,725.19,keep
1,8,0,0,1457.35,1457.35,870.77,586.58,keep
1,8,0,1,1127.35,1127.35,904.33,223.03,keep
1,8,1,0,1829.12,1829.12,870.77,958.35,keep
1,8,1,1,1538.84,1538.84,904.33,634.52,keep
1,8,2,0,1855.13,1855.13,870.77,984.36,keep
1,8,2,1,1564.83,1564.83,904.33,660.50,keep
1,8,3,0,1875.47,1875.47,870.77,1004.70,keep
1,8,3,1,1585.34,1585.34,904.33,681.01,keep
1,8,4,0,1889.25,1889.25,870.77,1018.48,keep
1,8,4,1,1599.87,1599.87,904.33,695.54,keep
1,8,5,0,1895.51,1895.51,870.77,1024.74,keep
1,8,5,1,1608.84,1608.84,904.33,704.51,keep
1,9,0,0,1341.37,1341.37,875.25,466.12,keep
1,9,0,1,1023.53,1023.53,906.36,117.17,keep
1,9,1,0,1772.14,1772.14,875.25,896.89,keep
1,9,1,1,1489.56,1489.56,906.36,583.21,keep
1,9,2,0,1804.65,1804.65,875.25,929.40,keep
1,9,2,1,1522.03,1522.03,906.36,615.67,keep
1,9,3,0,1832.07,1832.07,875.25,956.82,keep
1,9,3,1,1549.58,1549.58,906.36,643.22,keep
1,9,4,0,1853.51,1853.51,875.25,978.26,keep
1,9,4,1,1571.69,1571.69,906.36,665.34,keep
1,9,5,0,1867.99,1867.99,875.25,992.73,keep
1,9,5,1,1588.69,1588.69,906.36,682.33,keep
1,9,6,0,1874.42,1874.42,875.25,999.16,keep
1,9,6,1,1603.82,1603.82,906.36,697.46,keep
1,10,0,0,1223.85,1223.85,879.95,343.91,keep
1,10,0,1,936.05,936.05,908.50,27.55,keep
1,10,1,0,1715.72,1715.72,879.95,835.77,keep
1,10,1,1,1440.99,1440.99,908.50,532.49,keep
1,10,2,0,1754.51,1754.51,879.95,874.56,keep
1,10,2,1,1479.71,1479.71,908.50,571.21,keep
1,10,3,0,1788.79,1788.79,879.95,908.84,keep
1,10,3,1,1514.08,1514.08,908.50,605.58,keep
1,10,4,0,1817.69,1817.69,879.95,937.74,keep
1,10,4,1,1543.59,1543.59,908.50,635.08,keep
1,10,5,0,1840.25,1840.25,879.95,960.30,keep
1,10,5,1,1568.47,1568.47,908.50,659.97,keep
1,10,6,0,1855.35,1855.35,879.95,975.40,keep
1,10,6,1,1591.74,1591.74,908.50,683.23,keep
1,10,7,0,1861.57,1861.57,879.95,981.62,keep
1,10,7,1,1625.88,1625.88,908.50,717.37,keep
1,11,0,0,1106.14,1106.14,884.72,221.42,keep
1,11,0,1,910.69,872.19,910.69,-38.50,replace
1,11,1,0,1660.39,1660.39,884.72,775.67,keep
1,11,1,1,1393.51,1393.51,910.69,482.82,keep
1,11,2,0,1705.20,1705.20,884.72,820.49,keep
1,11,2,1,1438.23,1438.23,910.69,527.54,keep
1,11,3,0,1746.10,1746.10,884.72,861.38,keep
1,11,3,1,1479.19,1479.19,910.69,568.49,keep
1,11,4,0,1782.24,1782.24,884.72,897.52,keep
1,11,4,1,1515.86,1515.86,910.69,605.17,keep
1,11,5,0,1812.67,1812.67,884.72,927.95,keep
1,11,5,1,1548.44,1548.44,910.69,637.75,keep
1,11,6,0,1836.30,1836.30,884.72,951.58,keep
1,11,6,1,1579.70,1579.70,910.69,669.01,keep
1,11,7,0,1851.70,1851.70,884.72,966.99,keep
1,11,7,1,1621.34,1621.34,910.69,710.65,keep
1,11,8,0,1856.47,1856.47,980.02,876.45,keep
1,11,8,1,1715.56,1715.56,954.53,761.03,keep
1,12,0,0,1070.64,1070.64,889.47,181.17,keep
1,12,0,1,912.88,851.37,912.88,-61.50,replace
1,12,2,0,1657.10,1657.10,889.47,767.63,keep
1,12,2,1,1397.87,1397.87,912.88,485.00,keep
1,12,3,0,1704.36,1704.36,889.47,814.89,keep
1,12,3,1,1445.15,1445.15,912.88,532.27,keep
1,12,4,0,1747.47,1747.47,889.47,858.00,keep
1,12,4,1,1488.73,1488.73,912.88,575.86,keep
1,12,5,0,1785.54,1785.54,889.47,896.07,keep
1,12,5,1,1528.77,1528.77,912.88,615.90,keep
1,12,6,0,1817.48,1817.48,889.47,928.01,keep
1,12,6,1,1567.83,1567.83,912.88,654.95,keep
1,12,7,0,1841.91,1841.91,889.47,952.44,keep
1,12,7,1,1616.85,1616.85,912.88,703.97,keep
1,12,8,0,1856.47,1856.47,980.02,876.45,keep
1,12,8,1,1715.55,1715.55,954.53,761.03,keep
