parity,conception_mac,value_new_pregnancy
1,3,175.99
1,4,217.85
1,5,264.60
1,6,316.07
1,7,371.77
1,8,430.77
1,9,491.87
1,10,554.25
2,3,274.14
2,4,320.99
2,5,364.64
2,6,402.66
2,7,432.54
2,8,452.85
2,9,460.56
2,10,452.39
3,3,294.18
3,4,337.10
3,5,372.87
3,6,398.65
3,7,412.70
3,8,413.53
3,9,397.61
3,10,361.48
4,3,290.42
4,4,333.57
4,5,368.90
4,6,393.49
4,7,405.53
4,8,404.11
4,9,385.87
4,10,347.55
5,3,291.76
5,4,331.64
5,5,361.73
5,6,379.21
5,7,383.22
5,8,372.32
5,9,343.43
5,10,293.80
6,3,291.60
6,4,325.23
6,5,346.89
6,6,354.17
6,7,347.95
6,8,325.59
6,9,284.42
6,10,222.36
7,3,282.97
7,4,308.18
7,5,319.65
7,6,316.94
7,7,299.80
7,8,265.81
7,9,213.59
7,10,147.93
8,3,266.33
8,4,280.59
8,5,279.77
8,6,266.08
8,7,237.33
8,8,196.85
8,9,145.23
8,10,76.04
9,3,232.84
9,4,233.74
9,5,221.38
9,6,199.20
9,7,173.80
9,8,134.98
9,9,79.25
9,10,6.06
10,3,189.24
10,4,182.47
10,5,171.47
10,6,154.47
10,7,124.31
10,8,79.03
10,9,29.81
10,10,0.00
11,3,157.05
11,4,150.55
11,5,139.21
11,6,116.33
11,7,80.02
11,8,51.64
11,9,26.16
11,10,0.00
12,3,131.13
12,4,123.76
12,5,106.57
12,6,81.62
12,7,64.07
12,8,41.52
12,9,13.93
12,10,0.00
