parity,mac,cm_cost
1,1,443.94
1,2,497.76
1,3,530.08
1,4,534.43
1,5,532.49
1,6,525.87
1,7,514.09
1,8,492.00
1,9,438.65
1,10,275.39
1,11,103.72
1,12,51.89
1,13,16.44
1,14,-1.70
1,15,-1.71
1,16,-0.20
1,17,33.69
1,18,91.07
1,19,169.62
1,20,148.78
2,1,543.68
2,2,595.53
2,3,621.63
2,4,605.84
2,5,581.70
2,6,549.78
2,7,503.06
2,8,410.04
2,9,236.13
2,10,102.70
2,11,15.93
2,12,0.29
2,13,2.72
2,14,4.97
2,15,7.06
2,16,8.98
2,17,10.75
2,18,12.38
2,19,13.87
2,20,110.83
3,1,560.99
3,2,622.30
3,3,649.70
3,4,630.21
3,5,600.98
3,6,563.47
3,7,510.72
3,8,408.02
3,9,229.93
3,10,98.48
3,11,19.93
3,12,2.27
3,13,5.00
3,14,7.50
3,15,9.80
3,16,11.90
3,17,13.81
3,18,15.54
3,19,17.11
3,20,109.16
4,1,574.37
4,2,636.70
4,3,662.17
4,4,641.86
4,5,611.85
4,6,574.48
4,7,525.73
4,8,442.09
4,9,257.29
4,10,118.39
4,11,31.15
4,12,1.26
4,13,4.08
4,14,6.68
4,15,9.06
4,16,11.23
4,17,13.20
4,18,15.00
4,19,16.62
4,20,112.23
5,1,576.69
5,2,638.79
5,3,661.63
5,4,639.97
5,5,608.35
5,6,568.67
5,7,514.61
5,8,412.65
5,9,239.25
5,10,112.71
5,11,37.77
5,12,3.37
5,13,3.72
5,14,6.35
5,15,8.76
5,16,10.96
5,17,12.96
5,18,14.78
5,19,16.43
5,20,113.59
6,1,571.73
6,2,632.50
6,3,652.35
6,4,629.20
6,5,595.89
6,6,553.30
6,7,490.28
6,8,353.10
6,9,199.08
6,10,92.31
6,11,34.85
6,12,1.93
6,13,3.80
6,14,6.42
6,15,8.82
6,16,11.02
6,17,13.01
6,18,14.83
6,19,16.47
6,20,113.98
7,1,561.24
7,2,620.42
7,3,636.89
7,4,612.81
7,5,578.54
7,6,533.91
7,7,463.09
7,8,292.27
7,9,159.77
7,10,71.92
7,11,30.58
7,12,1.24
7,13,4.06
7,14,6.66
7,15,9.03
7,16,11.21
7,17,13.19
7,18,14.98
7,19,16.61
7,20,113.31
8,1,547.36
8,2,604.26
8,3,616.41
8,4,591.09
8,5,554.17
8,6,499.07
8,7,382.66
8,8,232.16
8,9,120.40
8,10,50.46
8,11,24.33
8,12,1.75
8,13,4.53
8,14,7.08
8,15,9.42
8,16,11.55
8,17,13.50
8,18,15.26
8,19,16.86
8,20,112.27
9,1,530.78
9,2,584.96
9,3,591.84
9,4,565.92
9,5,527.67
9,6,465.20
9,7,309.77
9,8,180.78
9,9,88.40
9,10,34.02
9,11,16.41
9,12,2.42
9,13,5.13
9,14,7.62
9,15,9.91
9,16,11.99
9,17,13.89
9,18,15.62
9,19,17.18
9,20,110.86
10,1,507.52
10,2,558.35
10,3,560.13
10,4,532.77
10,5,483.99
10,6,366.84
10,7,229.46
10,8,122.94
10,9,48.25
10,10,7.61
10,11,3.51
10,12,3.51
10,13,6.12
10,14,8.52
10,15,10.72
10,16,12.72
10,17,14.55
10,18,16.21
10,19,17.71
10,20,108.31
11,1,484.03
11,2,531.81
11,3,529.46
11,4,497.84
11,5,424.79
11,6,286.27
11,7,170.40
11,8,81.37
11,9,23.18
11,10,-0.97
11,11,1.93
11,12,4.64
11,13,7.14
11,14,9.44
11,15,11.55
11,16,13.47
11,17,15.22
11,18,16.82
11,19,18.26
11,20,105.69
12,1,461.18
12,2,506.25
12,3,500.55
12,4,460.00
12,5,340.01
12,6,219.72
12,7,120.82
12,8,48.66
12,9,7.35
12,10,0.36
12,11,3.14
12,12,5.73
12,13,8.13
12,14,10.33
12,15,12.35
12,16,14.20
12,17,15.88
12,18,17.41
12,19,18.79
12,20,20.04
