parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
0,0,9,0,6312.50,6312.50,5155.36,1157.14,keep
1,1,0,0,6593.48,6593.48,5120.12,1473.35,keep
1,1,0,1,6149.54,6149.54,5116.70,1032.83,keep
1,2,0,0,6598.09,6598.09,5084.15,1513.93,keep
1,2,0,1,6100.33,6100.33,5093.56,1006.77,keep
1,3,0,0,6531.02,6531.02,5069.07,1461.95,keep
1,3,0,1,6000.95,6000.95,5083.72,917.23,keep
1,4,0,0,6398.74,6398.74,5063.30,1335.44,keep
1,4,0,1,5864.31,5864.31,5079.79,784.52,keep
1,4,1,0,6632.54,6632.54,5063.30,1569.24,keep
1,4,1,1,6137.50,6137.50,5079.79,1057.72,keep
1,5,0,0,6244.62,6244.62,5062.01,1182.61,keep
1,5,0,1,5712.13,5712.13,5078.64,633.50,keep
1,5,1,0,6542.20,6542.20,5062.01,1480.20,keep
1,5,1,1,6054.56,6054.56,5078.64,975.93,keep
1,5,2,0,6554.19,6554.19,5062.01,1492.18,keep
1,5,2,1,6066.67,6066.67,5078.64,988.03,keep
1,6,0,0,6076.09,6076.09,5062.93,1013.16,keep
1,6,0,1,5550.22,5550.22,5078.82,471.40,keep
1,6,1,0,6441.93,6441.93,5062.93,1378.99,keep
1,6,1,1,5965.03,5965.03,5078.82,886.21,keep
1,6,2,0,6467.36,6467.36,5062.93,1404.43,keep
1,6,2,1,5990.53,5990.53,5078.82,911.71,keep
1,6,3,0,6479.99,6479.99,5062.93,1417.06,keep
1,6,3,1,6003.63,6003.63,5078.82,924.82,keep
1,7,0,0,5898.76,5898.76,5064.99,833.77,keep
1,7,0,1,5384.67,5384.67,5079.65,305.02,keep
1,7,1,0,6335.98,6335.98,5064.99,1270.99,keep
1,7,1,1,5871.89,5871.89,5079.65,792.24,keep
1,7,2,0,6374.64,6374.64,5064.99,1309.65,keep
1,7,2,1,5910.56,5910.56,5079.65,830.91,keep
1,7,3,0,6401.45,6401.45,5064.99,1336.46,keep
1,7,3,1,5937.77,5937.77,5079.65,858.12,keep
1,7,4,0,6414.73,6414.73,5064.99,1349.75,keep
1,7,4,1,5952.66,5952.66,5079.65,873.01,keep
1,8,0,0,5717.51,5717.51,5067.62,649.88,keep
1,8,0,1,5225.51,5225.51,5080.82,144.69,keep
1,8,1,0,6227.34,6227.34,5067.62,1159.72,keep
1,8,1,1,5777.30,5777.30,5080.82,696.48,keep
1,8,2,0,6278.89,6278.89,5067.62,1211.27,keep
1,8,2,1,5828.81,5828.81,5080.82,747.99,keep
1,8,3,0,6319.65,6319.65,5067.62,1252.03,keep
1,8,3,1,5869.89,5869.89,5080.82,789.07,keep
1,8,4,0,6347.89,6347.89,5067.62,1280.27,keep
1,8,4,1,5899.60,5899.60,5080.82,818.78,keep
1,8,5,0,6361.79,6361.79,5067.62,1294.17,keep
1,8,5,1,5918.75,5918.75,5080.82,837.93,keep
1,9,0,0,5536.66,5536.66,5070.56,466.10,keep
1,9,0,1,5098.01,5098.01,5082.15,15.86,keep
1,9,1,0,6118.12,6118.12,5070.56,1047.56,keep
1,9,1,1,5682.82,5682.82,5082.15,600.67,keep
1,9,2,0,6182.17,6182.17,5070.56,1111.61,keep
1,9,2,1,5746.78,5746.78,5082.15,664.63,keep
1,9,3,0,6236.53,6236.53,5070.56,1165.97,keep
1,9,3,1,5801.39,5801.39,5082.15,719.24,keep
1,9,4,0,6279.48,6279.48,5070.56,1208.92,keep
1,9,4,1,5845.66,5845.66,5082.15,763.51,keep
1,9,5,0,6309.16,6309.16,5070.56,1238.60,keep
1,9,5,1,5880.23,5880.23,5082.15,798.08,keep
1,9,6,0,6323.48,6323.48,5070.56,1252.92,keep
1,9,6,1,5911.47,5911.47,5082.15,829.32,keep
1,10,0,0,5358.94,5358.94,5073.63,285.31,keep
1,10,0,1,5083.55,4978.61,5083.55,-104.94,replace
1,10,1,0,6009.84,6009.84,5073.63,936.20,keep
1,10,1,1,5589.58,5589.58,5083.55,506.03,keep
1,10,2,0,6085.95,6085.95,5073.63,1012.31,keep
1,10,2,1,5665.55,5665.55,5083.55,582.00,keep
1,10,3,0,6153.48,6153.48,5073.63,1079.85,keep
1,10,3,1,5733.26,5733.26,5083.55,649.71,keep
1,10,4,0,6210.78,6210.78,5073.63,1137.14,keep
1,10,4,1,5791.74,5791.74,5083.55,708.18,keep
1,10,5,0,6255.97,6255.97,5073.63,1182.34,keep
1,10,5,1,5841.47,5841.47,5083.55,757.92,keep
1,10,6,0,6286.95,6286.95,5073.63,1213.32,keep
1,10,6,1,5888.33,5888.33,5083.55,804.77,keep
1,10,7,0,6300.97,6300.97,5073.63,1227.33,keep
1,10,7,1,5956.63,5956.63,5083.55,873.07,keep
1,11,0,0,5188.71,5188.71,5076.76,111.95,keep
1,11,0,1,5084.99,4890.87,5084.99,-194.12,replace
1,11,1,0,5903.57,5903.57,5076.76,826.81,keep
1,11,1,1,5498.39,5498.39,5084.99,413.40,keep
1,11,2,0,5991.26,5991.26,5076.76,914.50,keep
1,11,2,1,5585.89,5585.89,5084.99,500.91,keep
1,11,3,0,6071.51,6071.51,5076.76,994.75,keep
1,11,3,1,5666.25,5666.25,5084.99,581.26,keep
1,11,4,0,6142.71,6142.71,5076.76,1065.95,keep
1,11,4,1,5738.49,5738.49,5084.99,653.50,keep
1,11,5,0,6203.03,6203.03,5076.76,1126.28,keep
1,11,5,1,5803.01,5803.01,5084.99,718.02,keep
1,11,6,0,6250.40,6250.40,5076.76,1173.64,keep
1,11,6,1,5865.22,5865.22,5084.99,780.23,keep
1,11,7,0,6282.04,6282.04,5076.76,1205.28,keep
1,11,7,1,5947.94,5947.94,5084.99,862.95,keep
1,11,8,0,6293.34,6293.34,5139.20,1154.14,keep
1,11,8,1,6133.19,6133.19,5113.71,1019.48,keep
1,12,0,0,5138.30,5138.30,5079.87,58.43,keep
1,12,0,1,5086.42,4861.77,5086.42,-224.64,replace
1,12,2,0,5898.86,5898.86,5079.87,818.99,keep
1,12,2,1,5508.36,5508.36,5086.42,421.94,keep
1,12,3,0,5991.33,5991.33,5079.87,911.45,keep
1,12,3,1,5600.87,5600.87,5086.42,514.45,keep
1,12,4,0,6075.93,6075.93,5079.87,996.06,keep
1,12,4,1,5686.38,5686.38,5086.42,599.96,keep
1,12,5,0,6150.93,6150.93,5079.87,1071.05,keep
1,12,5,1,5765.23,5765.23,5086.42,678.81,keep
1,12,6,0,6214.26,6214.26,5079.87,1134.39,keep
1,12,6,1,5842.42,5842.42,5086.42,756.00,keep
1,12,7,0,6263.24,6263.24,5079.87,1183.37,keep
1,12,7,1,5939.31,5939.31,5086.42,852.89,keep
1,12,8,0,6293.34,6293.34,5139.20,1154.14,keep
1,12,8,1,6133.18,6133.18,5113.71,1019.48,keep
1,12,9,0,6703.65,6703.65,5139.20,1564.45,keep
1,12,9,1,6451.53,6451.53,5113.71,1337.82,keep
1,13,0,0,5104.27,5104.27,5082.94,21.33,keep
1,13,0,1,5087.83,4843.44,5087.83,-244.39,replace
1,13,3,0,5913.43,5913.43,5082.94,830.49,keep
1,13,3,1,5537.47,5537.47,5087.83,449.64,keep
1,13,4,0,6010.91,6010.91,5082.94,927.98,keep
1,13,4,1,5635.74,5635.74,5087.83,547.91,keep
1,13,5,0,6100.05,6100.05,5082.94,1017.12,keep
1,13,5,1,5728.41,5728.41,5087.83,640.58,keep
1,13,6,0,6178.87,6178.87,5082.94,1095.94,keep
1,13,6,1,5820.12,5820.12,5087.83,732.29,keep
1,13,7,0,6244.76,6244.76,5082.94,1161.82,keep
1,13,7,1,5930.83,5930.83,5087.83,843.00,keep
1,13,8,0,6293.34,6293.34,5139.20,1154.14,keep
1,13,8,1,6133.18,6133.18,5113.71,1019.48,keep
1,13,9,0,6703.65,6703.65,5139.20,1564.45,keep
1,13,9,1,6451.53,6451.53,5113.71,1337.82,keep
1,14,0,0,5087.50,5087.50,5085.93,1.57,keep
1,14,0,1,5089.20,4836.43,5089.20,-252.78,replace
1,14,4,0,5947.98,5947.98,5085.93,862.05,keep
1,14,4,1,5586.79,5586.79,5089.20,497.59,keep
1,14,5,0,6050.71,6050.71,5085.93,964.78,keep
1,14,5,1,5692.74,5692.74,5089.20,603.54,keep
1,14,6,0,6144.46,6144.46,5085.93,1058.54,keep
1,14,6,1,5798.45,5798.45,5089.20,709.25,keep
1,14,7,0,6226.74,6226.74,5085.93,1140.81,keep
1,14,7,1,5922.56,5922.56,5089.20,833.36,keep
1,14,8,0,6293.33,6293.33,5139.19,1154.14,keep
1,14,8,1,6133.18,6133.18,5113.71,1019.48,keep
1,14,9,0,6703.65,6703.65,5139.19,1564.45,keep
1,14,9,1,6451.53,6451.53,5113.71,1337.82,keep
1,15,0,0,5088.83,5072.66,5088.83,-16.17,replace
1,15,0,1,5090.54,4830.56,5090.54,-259.98,replace
1,15,5,0,6003.09,6003.09,5088.83,914.26,keep
1,15,5,1,5658.36,5658.36,5090.54,567.82,keep
1,15,6,0,6111.19,6111.19,5088.83,1022.36,keep
1,15,6,1,5777.51,5777.51,5090.54,686.98,keep
1,15,7,0,6209.27,6209.27,5088.83,1120.44,keep
1,15,7,1,5914.55,5914.55,5090.54,824.01,keep
1,15,8,0,6293.33,6293.33,5139.19,1154.14,keep
1,15,8,1,6133.18,6133.18,5113.71,1019.48,keep
1,15,9,0,6703.65,6703.65,5139.19,1564.45,keep
1,15,9,1,6451.53,6451.53,5113.71,1337.82,keep
1,16,0,0,5091.63,5088.48,5091.63,-3.15,replace
1,16,0,1,5091.82,4844.84,5091.82,-246.98,replace
1,16,6,0,6079.16,6079.16,5091.63,987.53,keep
1,16,6,1,5757.37,5757.37,5091.82,665.55,keep
1,16,7,0,6192.42,6192.42,5091.63,1100.80,keep
1,16,7,1,5906.82,5906.82,5091.82,814.99,keep
1,16,8,0,6293.33,6293.33,5139.19,1154.14,keep
1,16,8,1,6133.18,6133.18,5113.70,1019.48,keep
1,16,9,0,6703.65,6703.65,5139.19,1564.45,keep
1,16,9,1,6451.53,6451.53,5113.70,1337.82,keep
1,17,0,0,5126.75,5126.75,5094.31,32.43,keep
