parity,conception_mac,value_new_pregnancy
1,3,233.80
1,4,297.58
1,5,365.84
1,6,437.22
1,7,509.83
1,8,581.46
1,9,650.89
1,10,714.86
2,3,384.76
2,4,453.79
2,5,512.25
2,6,555.14
2,7,577.81
2,8,576.65
2,9,545.58
2,10,478.80
3,3,413.20
3,4,481.87
3,5,535.50
3,6,568.65
3,7,577.17
3,8,558.81
3,9,507.27
3,10,416.57
4,3,406.22
4,4,477.04
4,5,532.31
4,6,566.49
4,7,575.07
4,8,557.48
4,9,507.86
4,10,420.73
5,3,403.90
5,4,470.02
5,5,517.66
5,6,541.51
5,7,538.34
5,8,507.47
5,9,443.74
5,10,342.69
6,3,397.89
6,4,453.89
6,5,488.08
6,6,495.82
6,7,476.50
6,8,428.08
6,9,346.29
6,10,235.63
7,3,379.23
7,4,421.60
7,5,438.84
7,6,427.40
7,7,389.92
7,8,322.66
7,9,235.25
7,10,120.68
8,3,343.59
8,4,367.33
8,5,363.65
8,6,332.81
8,7,277.54
8,8,214.70
8,9,124.13
8,10,1.61
9,3,279.29
9,4,279.34
9,5,252.30
9,6,220.00
9,7,175.34
9,8,104.04
9,9,29.82
9,10,0.00
10,3,205.76
10,4,196.20
10,5,174.84
10,6,141.78
10,7,85.27
10,8,54.45
10,9,29.81
10,10,0.00
11,3,149.75
11,4,134.34
11,5,109.46
11,6,84.94
11,7,68.83
11,8,47.71
11,9,29.79
11,10,0.00
12,3,123.91
12,4,105.96
12,5,90.89
12,6,77.13
12,7,58.53
12,8,34.81
12,9,29.78
12,10,0.00
