parity,mac,cm_cost
1,1,229.01
1,2,279.56
1,3,328.95
1,4,335.32
1,5,337.38
1,6,336.70
1,7,333.36
1,8,325.10
1,9,302.36
1,10,238.23
1,11,145.53
1,12,138.46
1,13,131.50
1,14,124.71
1,15,118.13
1,16,111.77
1,17,116.18
1,18,130.04
1,19,125.59
1,20,99.27
2,1,283.36
2,2,333.26
2,3,374.98
2,4,365.23
2,5,349.13
2,6,328.27
2,7,300.93
2,8,256.75
2,9,213.43
2,10,177.28
2,11,126.02
2,12,115.02
2,13,104.75
2,14,95.20
2,15,86.37
2,16,78.22
2,17,70.72
2,18,63.84
2,19,78.98
2,20,69.29
3,1,285.89
3,2,342.22
3,3,382.42
3,4,367.80
3,5,343.50
3,6,305.70
3,7,257.35
3,8,215.26
3,9,182.05
3,10,159.23
3,11,123.66
3,12,111.13
3,13,99.53
3,14,88.85
3,15,79.06
3,16,70.13
3,17,61.99
3,18,54.60
3,19,68.13
3,20,69.06
4,1,296.49
4,2,353.70
4,3,392.25
4,4,376.65
4,5,350.85
4,6,310.03
4,7,261.29
4,8,219.10
4,9,186.07
4,10,163.08
4,11,129.71
4,12,116.72
4,13,104.70
4,14,93.64
4,15,83.50
4,16,74.24
4,17,65.81
4,18,58.15
4,19,72.31
4,20,73.01
5,1,299.06
5,2,355.94
5,3,391.81
5,4,374.62
5,5,345.91
5,6,296.95
5,7,250.52
5,8,211.51
5,9,182.50
5,10,160.38
5,11,132.34
5,12,119.16
5,13,106.96
5,14,95.73
5,15,85.44
5,16,76.04
5,17,67.48
5,18,59.71
5,19,74.05
5,20,75.13
6,1,298.14
6,2,353.68
6,3,386.04
6,4,365.14
6,5,324.74
6,6,277.00
6,7,234.66
6,8,200.67
6,9,177.42
6,10,156.62
6,11,133.94
6,12,120.78
6,13,108.60
6,14,97.39
6,15,87.11
6,16,77.73
6,17,69.18
6,18,61.42
6,19,76.12
6,20,77.72
7,1,291.32
7,2,345.06
7,3,372.89
7,4,347.06
7,5,300.92
7,6,257.37
7,7,220.10
7,8,191.94
7,9,170.17
7,10,149.82
7,11,132.42
7,12,119.36
7,13,107.27
7,14,96.14
7,15,85.95
7,16,76.64
7,17,68.16
7,18,60.46
7,19,74.73
7,20,77.54
8,1,283.06
8,2,334.08
8,3,355.17
8,4,317.01
8,5,275.20
8,6,236.85
8,7,205.54
8,8,183.06
8,9,162.19
8,10,144.24
8,11,130.65
8,12,117.79
8,13,105.89
8,14,94.94
8,15,84.90
8,16,75.74
8,17,67.39
8,18,59.81
8,19,73.80
8,20,77.89
9,1,272.46
9,2,318.33
9,3,323.54
9,4,287.97
9,5,251.66
9,6,219.68
9,7,194.70
9,8,173.80
9,9,155.85
9,10,141.47
9,11,128.19
9,12,115.59
9,13,103.93
9,14,93.21
9,15,83.38
9,16,74.40
9,17,66.23
9,18,58.80
9,19,72.43
9,20,78.02
10,1,254.34
10,2,284.86
10,3,287.03
10,4,257.23
10,5,227.76
10,6,202.50
10,7,182.37
10,8,164.80
10,9,150.24
10,10,136.38
10,11,123.59
10,12,111.45
10,13,100.22
10,14,89.88
10,15,80.40
10,16,71.75
10,17,63.87
10,18,56.71
10,19,69.79
10,20,77.27
11,1,221.14
11,2,251.23
11,3,254.86
11,4,231.40
11,5,208.06
11,6,189.51
11,7,172.80
11,8,158.37
11,9,144.37
11,10,131.04
11,11,118.78
11,12,107.10
11,13,96.29
11,14,86.35
11,15,77.24
11,16,68.91
11,17,61.34
11,18,54.45
11,19,66.93
11,20,76.47
12,1,189.41
12,2,218.55
12,3,217.78
12,4,205.70
12,5,193.25
12,6,179.79
12,7,165.90
12,8,152.03
12,9,138.57
12,10,125.76
12,11,113.99
12,12,102.77
12,13,92.38
12,14,82.82
12,15,74.06
12,16,66.06
12,17,58.78
12,18,52.16
12,19,46.16
12,20,-88.29
