parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
0,0,9,0,3883.42,3883.42,1769.96,2113.46,keep
1,1,0,0,2949.18,2949.18,1716.18,1233.00,keep
1,1,0,1,2639.15,2639.15,1635.16,1003.99,keep
1,2,0,0,2959.94,2959.94,1661.28,1298.66,keep
1,2,0,1,2618.93,2618.93,1599.83,1019.10,keep
1,3,0,0,2956.66,2956.66,1638.26,1318.40,keep
1,3,0,1,2574.27,2574.27,1584.82,989.45,keep
1,4,0,0,2848.06,2848.06,1629.44,1218.62,keep
1,4,0,1,2462.12,2462.12,1578.82,883.30,keep
1,4,1,0,3263.17,3263.17,1629.44,1633.72,keep
1,4,1,1,2940.71,2940.71,1578.82,1361.89,keep
1,5,0,0,2724.72,2724.72,1627.47,1097.25,keep
1,5,0,1,2336.93,2336.93,1577.06,759.87,keep
1,5,1,0,3212.26,3212.26,1627.47,1584.79,keep
1,5,1,1,2894.44,2894.44,1577.06,1317.38,keep
1,5,2,0,3285.92,3285.92,1627.47,1658.44,keep
1,5,2,1,2967.93,2967.93,1577.06,1390.87,keep
1,6,0,0,2585.82,2585.82,1628.89,956.94,keep
1,6,0,1,2197.58,2197.58,1577.34,620.24,keep
1,6,1,0,3158.37,3158.37,1628.89,1529.49,keep
1,6,1,1,2846.49,2846.49,1577.34,1269.15,keep
1,6,2,0,3239.03,3239.03,1628.89,1610.14,keep
1,6,2,1,2926.95,2926.95,1577.34,1349.62,keep
1,6,3,0,3316.69,3316.69,1628.89,1687.80,keep
1,6,3,1,3004.62,3004.62,1577.34,1427.29,keep
1,7,0,0,2431.06,2431.06,1632.02,799.04,keep
1,7,0,1,2044.29,2044.29,1578.61,465.68,keep
1,7,1,0,3102.49,3102.49,1632.02,1470.47,keep
1,7,1,1,2797.43,2797.43,1578.61,1218.82,keep
1,7,2,0,3190.03,3190.03,1632.02,1558.01,keep
1,7,2,1,2884.75,2884.75,1578.61,1306.14,keep
1,7,3,0,3275.08,3275.08,1632.02,1643.06,keep
1,7,3,1,2969.76,2969.76,1578.61,1391.15,keep
1,7,4,0,3356.96,3356.96,1632.02,1724.94,keep
1,7,4,1,3052.22,3052.22,1578.61,1473.61,keep
1,8,0,0,2260.57,2260.57,1636.05,624.53,keep
1,8,0,1,1879.82,1879.82,1580.39,299.43,keep
1,8,1,0,3045.63,3045.63,1636.05,1409.59,keep
