parity,conception_mac,value_new_pregnancy
1,3,415.10
1,4,487.54
1,5,572.55
1,6,671.44
1,7,785.06
1,8,913.69
1,9,1057.31
1,10,1216.83
2,3,505.43
2,4,564.56
2,5,619.17
2,6,665.71
2,7,700.34
2,8,720.00
2,9,720.15
2,10,695.83
3,3,501.73
3,4,542.83
3,5,571.07
3,6,583.17
3,7,575.81
3,8,543.28
3,9,479.68
3,10,384.08
4,3,498.67
4,4,537.86
4,5,563.02
4,6,571.38
4,7,559.50
4,8,521.83
4,9,452.73
4,10,354.22
5,3,501.59
5,4,533.45
5,5,548.63
5,6,545.90
5,7,520.50
5,8,467.14
5,9,380.81
5,10,281.36
6,3,501.18
6,4,521.49
6,5,524.51
6,6,507.26
6,7,464.77
6,8,392.20
6,9,285.75
6,10,187.16
7,3,488.46
7,4,495.76
7,5,484.90
7,6,451.29
7,7,390.33
7,8,297.85
7,9,192.78
7,10,95.47
8,3,464.02
8,4,457.85
8,5,431.14
8,6,379.58
8,7,299.13
8,8,188.99
8,9,88.65
8,10,0.00
9,3,422.23
9,4,399.55
9,5,354.00
9,6,281.71
9,7,180.01
9,8,78.39
9,9,0.00
9,10,0.00
10,3,371.48
10,4,329.93
10,5,263.30
10,6,171.84
10,7,71.88
10,8,0.00
10,9,0.00
10,10,0.00
11,3,303.44
11,4,241.65
11,5,161.22
11,6,64.38
11,7,0.00
11,8,0.00
11,9,0.00
11,10,0.00
12,3,54.35
12,4,32.39
12,5,7.29
12,6,0.00
12,7,0.00
12,8,0.00
12,9,0.00
12,10,0.00
