parity,mac,cm_cost
1,1,360.74
1,2,434.36
1,3,493.90
1,4,501.70
1,5,501.76
1,6,496.47
1,7,485.69
1,8,464.57
1,9,412.83
1,10,335.97
1,11,230.26
1,12,218.93
1,13,207.78
1,14,196.91
1,15,186.36
1,16,176.19
1,17,167.12
1,18,194.60
1,19,194.63
1,20,147.19
2,1,455.23
2,2,528.29
2,3,578.30
2,4,562.25
2,5,535.58
2,6,500.40
2,7,451.88
2,8,377.95
2,9,314.55
2,10,265.09
2,11,203.29
2,12,185.74
2,13,169.35
2,14,154.13
2,15,140.04
2,16,127.04
2,17,115.09
2,18,104.12
2,19,125.35
2,20,100.92
3,1,465.37
3,2,548.83
3,3,598.15
3,4,576.68
3,5,541.94
3,6,494.57
3,7,419.80
3,8,348.15
3,9,290.62
3,10,250.98
3,11,202.60
3,12,182.67
3,13,164.23
3,14,147.26
3,15,131.72
3,16,117.52
3,17,104.60
3,18,92.86
3,19,111.20
3,20,98.75
4,1,481.39
4,2,566.29
4,3,613.37
4,4,590.85
4,5,554.87
4,6,506.51
4,7,431.76
4,8,358.54
4,9,299.46
4,10,258.11
4,11,211.26
4,12,190.62
4,13,171.53
4,14,153.96
4,15,137.86
4,16,123.17
4,17,109.78
4,18,97.62
4,19,116.67
4,20,103.74
5,1,484.98
5,2,569.60
5,3,613.28
5,4,589.04
5,5,550.72
5,6,497.84
5,7,416.78
5,8,346.79
5,9,291.69
5,10,254.80
5,11,214.86
5,12,193.93
5,13,174.57
5,14,156.75
5,15,140.42
5,16,125.52
5,17,111.94
5,18,99.61
5,19,118.77
5,20,106.28
6,1,482.07
6,2,564.93
6,3,604.36
6,4,577.64
6,5,534.69
6,6,467.37
6,7,392.01
6,8,328.84
6,9,281.51
6,10,246.62
6,11,215.99
6,12,195.10
6,13,175.78
6,14,158.01
6,15,141.72
6,16,126.85
6,17,113.30
6,18,101.00
6,19,120.39
6,20,108.78
7,1,471.20
7,2,551.84
7,3,586.39
7,4,557.88
7,5,511.11
7,6,433.84
7,7,365.34
7,8,309.85
7,9,268.75
7,10,236.99
7,11,213.56
7,12,192.86
7,13,173.71
7,14,156.09
7,15,139.94
7,16,125.20
7,17,111.78
7,18,99.58
7,19,118.33
7,20,108.31
8,1,457.54
8,2,534.99
8,3,562.99
8,4,530.08
8,5,467.54
8,6,397.87
8,7,337.87
8,8,289.36
8,9,256.66
8,10,231.83
8,11,210.18
8,12,189.83
8,13,170.99
8,14,153.67
8,15,137.79
8,16,123.29
8,17,110.09
8,18,98.10
8,19,116.33
8,20,108.13
9,1,441.01
9,2,514.38
9,3,533.40
9,4,491.05
9,5,425.53
9,6,365.29
9,7,313.15
9,8,274.97
9,9,249.61
9,10,226.86
9,11,205.71
9,12,185.79
9,13,167.37
9,14,150.42
9,15,134.89
9,16,120.70
9,17,107.79
9,18,96.06
9,19,113.65
9,20,107.57
10,1,416.99
10,2,484.36
10,3,489.96
10,4,436.13
10,5,380.79
10,6,329.42
10,7,288.67
10,8,263.17
10,9,240.16
10,10,218.25
10,11,197.92
10,12,178.74
10,13,161.01
10,14,144.69
10,15,129.73
10,16,116.08
10,17,103.65
10,18,92.35
10,19,109.06
10,20,105.70
11,1,391.73
11,2,449.79
11,3,435.57
11,4,391.35
11,5,344.61
11,6,304.31
11,7,275.53
11,8,252.45
11,9,230.35
11,10,209.32
11,11,189.81
11,12,171.40
11,13,154.37
11,14,138.70
11,15,124.34
11,16,111.22
11,17,99.29
11,18,88.44
11,19,104.19
11,20,103.74
12,1,359.96
12,2,398.80
12,3,384.79
12,4,351.53
12,5,316.68
12,6,286.41
12,7,263.78
12,8,241.91
12,9,220.70
12,10,200.51
12,11,181.82
12,12,164.15
12,13,147.80
12,14,132.76
12,15,118.98
12,16,106.40
12,17,94.94
12,18,84.53
12,19,75.09
12,20,-62.14
