parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
0,0,9,0,8230.06,8230.06,5926.27,2303.79,keep
1,1,0,0,7496.17,7496.17,5891.04,1605.13,keep
1,1,0,1,7042.80,7042.80,5798.41,1244.40,keep
1,2,0,0,7552.11,7552.11,5855.07,1697.04,keep
1,2,0,1,7037.94,7037.94,5775.26,1262.68,keep
1,3,0,0,7539.60,7539.60,5839.99,1699.61,keep
1,3,0,1,6971.14,6971.14,5765.42,1205.72,keep
1,4,0,0,7386.58,7386.58,5834.21,1552.36,keep
1,4,0,1,6812.16,6812.16,5761.49,1050.66,keep
1,4,1,0,7850.01,7850.01,5834.21,2015.80,keep
1,4,1,1,7347.59,7347.59,5761.49,1586.10,keep
1,5,0,0,7207.11,7207.11,5832.92,1374.19,keep
1,5,0,1,6632.77,6632.77,5760.34,872.43,keep
1,5,1,0,7759.68,7759.68,5832.92,1926.76,keep
1,5,1,1,7264.65,7264.65,5760.34,1504.31,keep
1,5,2,0,7839.95,7839.95,5832.92,2007.03,keep
1,5,2,1,7344.81,7344.81,5760.34,1584.47,keep
1,6,0,0,7007.75,7007.75,5833.85,1173.90,keep
1,6,0,1,6437.96,6437.96,5760.52,677.43,keep
1,6,1,0,7659.40,7659.40,5833.85,1825.55,keep
1,6,1,1,7175.11,7175.11,5760.52,1414.59,keep
1,6,2,0,7753.12,7753.12,5833.85,1919.28,keep
1,6,2,1,7268.67,7268.67,5760.52,1508.15,keep
1,6,3,0,7837.76,7837.76,5833.85,2003.92,keep
1,6,3,1,7353.55,7353.55,5760.52,1593.03,keep
1,7,0,0,6793.27,6793.27,5835.90,957.36,keep
1,7,0,1,6233.03,6233.03,5761.36,471.67,keep
1,7,1,0,7553.45,7553.45,5835.90,1717.55,keep
1,7,1,1,7081.97,7081.97,5761.36,1320.62,keep
1,7,2,0,7660.40,7660.40,5835.90,1824.50,keep
1,7,2,1,7188.70,7188.70,5761.36,1427.35,keep
1,7,3,0,7759.22,7759.22,5835.90,1923.32,keep
1,7,3,1,7287.68,7287.68,5761.36,1526.32,keep
1,7,4,0,7848.44,7848.44,5835.90,2012.54,keep
1,7,4,1,7378.26,7378.26,5761.36,1616.90,keep
1,8,0,0,6567.87,6567.87,5838.54,729.34,keep
1,8,0,1,6027.29,6027.29,5762.52,264.77,keep
1,8,1,0,7444.81,7444.81,5838.54,1606.27,keep
1,8,1,1,6987.38,6987.38,5762.52,1224.86,keep
1,8,2,0,7564.65,7564.65,5838.54,1726.12,keep
1,8,2,1,7106.96,7106.96,5762.52,1344.43,keep
1,8,3,0,7677.42,7677.42,5838.54,1838.88,keep
1,8,3,1,7219.80,7219.80,5762.52,1457.28,keep
1,8,4,0,7781.60,7781.60,5838.54,1943.06,keep
1,8,4,1,7325.19,7325.19,5762.52,1562.67,keep
1,8,5,0,7875.58,7875.58,5838.54,2037.04,keep
1,8,5,1,7424.15,7424.15,5762.52,1661.63,keep
1,9,0,0,6335.53,6335.53,5841.47,494.05,keep
1,9,0,1,5845.08,5845.08,5763.85,81.23,keep
1,9,1,0,7335.59,7335.59,5841.47,1494.12,keep
1,9,1,1,6892.90,6892.90,5763.85,1129.05,keep
1,9,2,0,7467.93,7467.93,5841.47,1626.46,keep
1,9,2,1,7024.93,7024.93,5763.85,1261.07,keep
1,9,3,0,7594.30,7594.30,5841.47,1752.83,keep
1,9,3,1,7151.30,7151.30,5763.85,1387.45,keep
1,9,4,0,7713.19,7713.19,5841.47,1871.71,keep
1,9,4,1,7271.25,7271.25,5763.85,1507.40,keep
1,9,5,0,7822.95,7822.95,5841.47,1981.47,keep
1,9,5,1,7385.63,7385.63,5763.85,1621.78,keep
1,9,6,0,7921.71,7921.71,5841.47,2080.24,keep
1,9,6,1,7501.03,7501.03,5763.85,1737.17,keep
1,10,0,0,6099.09,6099.09,5844.55,254.54,keep
1,10,0,1,5765.26,5683.82,5765.26,-81.44,replace
1,10,1,0,7227.31,7227.31,5844.55,1382.76,keep
1,10,1,1,6799.66,6799.66,5765.26,1034.41,keep
1,10,2,0,7371.71,7371.71,5844.55,1527.16,keep
1,10,2,1,6943.69,6943.69,5765.26,1178.44,keep
1,10,3,0,7511.26,7511.26,5844.55,1666.71,keep
1,10,3,1,7083.18,7083.18,5765.26,1317.92,keep
1,10,4,0,7644.48,7644.48,5844.55,1799.93,keep
1,10,4,1,7217.33,7217.33,5765.26,1452.07,keep
1,10,5,0,7769.76,7769.76,5844.55,1925.21,keep
1,10,5,1,7346.87,7346.87,5765.26,1581.61,keep
1,10,6,0,7885.18,7885.18,5844.55,2040.63,keep
1,10,6,1,7477.89,7477.89,5765.26,1712.63,keep
1,10,7,0,7988.25,7988.25,5844.55,2143.70,keep
1,10,7,1,7634.92,7634.92,5765.26,1869.67,keep
