parity,conception_mac,value_new_pregnancy
1,3,463.44
1,4,552.56
1,5,651.65
1,6,760.19
1,7,876.94
1,8,1000.07
1,9,1128.22
1,10,1258.97
2,3,613.39
2,4,693.53
2,5,761.34
2,6,810.61
2,7,835.09
2,8,829.73
2,9,786.75
2,10,698.66
3,3,620.08
3,4,686.67
3,5,732.21
3,6,749.96
3,7,736.22
3,8,683.44
3,9,582.95
3,10,426.70
4,3,613.70
4,4,680.41
4,5,724.98
4,6,740.83
4,7,724.83
4,8,670.19
4,9,568.81
4,10,413.28
5,3,615.49
5,4,674.49
5,5,707.78
5,6,709.59
5,7,678.54
5,8,607.20
5,9,488.51
5,10,316.59
6,3,610.10
6,4,653.54
6,5,667.42
6,6,649.33
6,7,595.39
6,8,498.93
6,9,354.09
6,10,177.41
7,3,589.29
7,4,614.10
7,5,606.21
7,6,566.60
7,7,489.08
7,8,368.07
7,9,203.34
7,10,37.57
8,3,547.91
8,4,548.82
8,5,518.62
8,6,454.44
8,7,351.04
8,8,213.19
8,9,42.71
8,10,0.00
9,3,472.67
9,4,446.58
9,5,389.51
9,6,297.34
9,7,186.52
9,8,40.06
9,9,0.00
9,10,0.00
10,3,378.58
10,4,325.00
10,5,250.22
10,6,159.63
10,7,34.83
10,8,0.00
10,9,0.00
10,10,0.00
11,3,262.94
11,4,209.71
11,5,134.82
11,6,38.67
11,7,11.08
11,8,0.00
11,9,0.00
11,10,0.00
12,3,82.56
12,4,69.58
12,5,51.33
12,6,27.21
12,7,0.00
12,8,0.00
12,9,0.00
12,10,0.00
