
--- Run started 2026-02-08 17:56:26 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: -85, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 28567, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 28761, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 29096, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 23727, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 34066, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 35297, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 33709, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 37025, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 21445, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 33609, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 28944, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 21802, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 21858, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 30033, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 31918, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 32938, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 35889, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 24689, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 30730, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 23356, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 34438, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 33136, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 29395, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 27872, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 29737, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 36615, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 28915, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 21400, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 35151, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 40224, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 26002, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 29029, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 31468, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 26598, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 28791, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 33199, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 22906, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 21116, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 33520, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 31574, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 29347, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 26361, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 32882, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 26770, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 39786, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 22947, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: -85, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 34042, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 34222, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 31488, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 24601, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 32051, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 36057, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 31729, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 30456, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 23295, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 28232, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 30727, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: 33937, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 27802, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 24476, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 36709, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: 32885, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: 30917, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 30106, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: 34955, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 27369, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 36647, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 28657, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 37425, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 35492, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 28640, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: 29073, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 37839, Epsilon: 0.0100, Buffer: 100000
Episode 76000/500000, Total Reward: 36464, Epsilon: 0.0100, Buffer: 100000
Episode 77000/500000, Total Reward: 33472, Epsilon: 0.0100, Buffer: 100000
