
--- Run started 2026-02-06 17:27:19 ---

======================================================================
LOADING EXISTING MODEL
======================================================================
Model file: outputs/DQN_2025_500k_run1_continue_UB_model.pth
Loaded 500000 previous episodes
Continuing from epsilon: 0.0100
Previous final reward: 34819
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 16433, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 9180, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 20757, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 9858, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 19245, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 19445, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 13102, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 10556, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 7433, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 8284, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 15456, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 9774, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 19584, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 12100, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 2607, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 8779, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: -5766, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 7716, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 7530, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 7124, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 23829, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 14744, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 14658, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 7836, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 13771, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 15899, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: -15666, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 16207, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 8736, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 6590, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 12255, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 9826, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 16429, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 14430, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 18333, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: -2111, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 9513, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 1894, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: -2942, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 6575, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 5091, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 9442, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 14901, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 6011, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 7802, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 1143, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 4618, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: 18636, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 5890, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 14406, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 8430, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 10844, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 11686, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 16762, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: -968, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 20237, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 5083, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 3607, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 10389, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: 14355, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 19104, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 10495, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 15030, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: -5252, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: -3154, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 16150, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: 7913, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 22451, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 19235, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 17488, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 1407, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 5622, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 14924, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: 15401, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 4746, Epsilon: 0.0100, Buffer: 100000
Episode 76000/500000, Total Reward: 10893, Epsilon: 0.0100, Buffer: 100000
Episode 77000/500000, Total Reward: 4569, Epsilon: 0.0100, Buffer: 100000
Episode 78000/500000, Total Reward: 12792, Epsilon: 0.0100, Buffer: 100000
Episode 79000/500000, Total Reward: 7360, Epsilon: 0.0100, Buffer: 100000
Episode 80000/500000, Total Reward: 319, Epsilon: 0.0100, Buffer: 100000
Episode 81000/500000, Total Reward: -12512, Epsilon: 0.0100, Buffer: 100000
Episode 82000/500000, Total Reward: 15687, Epsilon: 0.0100, Buffer: 100000
Episode 83000/500000, Total Reward: 5381, Epsilon: 0.0100, Buffer: 100000
Episode 84000/500000, Total Reward: 14552, Epsilon: 0.0100, Buffer: 100000
Episode 85000/500000, Total Reward: 14263, Epsilon: 0.0100, Buffer: 100000
Episode 86000/500000, Total Reward: 9981, Epsilon: 0.0100, Buffer: 100000
Episode 87000/500000, Total Reward: 10010, Epsilon: 0.0100, Buffer: 100000
Episode 88000/500000, Total Reward: 16621, Epsilon: 0.0100, Buffer: 100000
Episode 89000/500000, Total Reward: -868, Epsilon: 0.0100, Buffer: 100000
Episode 90000/500000, Total Reward: 3093, Epsilon: 0.0100, Buffer: 100000
Episode 91000/500000, Total Reward: 14427, Epsilon: 0.0100, Buffer: 100000
Episode 92000/500000, Total Reward: 571, Epsilon: 0.0100, Buffer: 100000
Episode 93000/500000, Total Reward: 11833, Epsilon: 0.0100, Buffer: 100000
Episode 94000/500000, Total Reward: 1740, Epsilon: 0.0100, Buffer: 100000
Episode 95000/500000, Total Reward: 7193, Epsilon: 0.0100, Buffer: 100000
Episode 96000/500000, Total Reward: 3313, Epsilon: 0.0100, Buffer: 100000
Episode 97000/500000, Total Reward: -4383, Epsilon: 0.0100, Buffer: 100000
Episode 98000/500000, Total Reward: -4608, Epsilon: 0.0100, Buffer: 100000
Episode 99000/500000, Total Reward: 17542, Epsilon: 0.0100, Buffer: 100000
Episode 100000/500000, Total Reward: -1924, Epsilon: 0.0100, Buffer: 100000
Episode 101000/500000, Total Reward: 9272, Epsilon: 0.0100, Buffer: 100000
Episode 102000/500000, Total Reward: 870, Epsilon: 0.0100, Buffer: 100000
Episode 103000/500000, Total Reward: -5009, Epsilon: 0.0100, Buffer: 100000
Episode 104000/500000, Total Reward: 14712, Epsilon: 0.0100, Buffer: 100000
