
--- Run started 2026-01-31 21:00:46 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 31007, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 37268, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 27715, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 29520, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 27861, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 27941, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 31831, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 30607, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 35601, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 27485, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 32227, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 36470, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 38166, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 34259, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 30187, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 33367, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 33607, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 31477, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 41075, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 32904, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 35889, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 30435, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 35638, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 19775, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 25748, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 38992, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 28466, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 32885, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 32960, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 39270, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 30313, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 26491, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 38528, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 29172, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 29106, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 21933, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 28479, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 35623, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 36303, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 34855, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 41827, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 43235, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 33627, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 28014, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 22358, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 21847, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 29538, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: 39238, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 32205, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 36573, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 22621, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 30343, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 28741, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 27253, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 24849, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 31658, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 32706, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 28962, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 29980, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: 25170, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 33660, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 40435, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 35951, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: 29790, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: 30905, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 41883, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: 37960, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 36130, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 37500, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 30636, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 27478, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 32186, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 33239, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: 34859, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 34922, Epsilon: 0.0100, Buffer: 100000
Episode 76000/500000, Total Reward: 36325, Epsilon: 0.0100, Buffer: 100000
Episode 77000/500000, Total Reward: 36064, Epsilon: 0.0100, Buffer: 100000
Episode 78000/500000, Total Reward: 36170, Epsilon: 0.0100, Buffer: 100000
