
--- Run started 2026-01-29 16:06:41 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 40770, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 29612, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 39550, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 39881, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 32130, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 42218, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 26336, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 28443, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 23712, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 29689, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 30446, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 33105, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 37586, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 11, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 41722, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 34115, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 34213, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 37327, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 33704, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 42617, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 34906, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 41475, Epsilon: 0.0100, Buffer: 100000
