
--- Run started 2026-02-09 23:13:30 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 3193, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 7937, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 7073, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 6181, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 5846, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 8121, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 6785, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 6577, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 5794, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 7806, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 6729, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 7480, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 6768, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 2538, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 7484, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 10999, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 10704, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 3410, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 788, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 9521, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 7227, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 6776, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 7859, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 8474, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 3005, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 12459, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 3775, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 4092, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 2859, Epsilon: 0.0100, Buffer: 100000
