
--- Run started 2026-02-04 15:58:27 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 7102, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 3719, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 3310, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 9326, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: -83, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 8164, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 11256, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 12167, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 586, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 4214, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 6608, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 8655, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 10423, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 5431, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 6705, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 10258, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 5699, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 10179, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 9741, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 12118, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 1162, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: -22, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 2569, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 11234, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 4776, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 5099, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 2312, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 7184, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 5176, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 6099, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 8524, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 9621, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 2948, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 5241, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 3721, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 4003, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 9238, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 5070, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 13022, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 7470, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 5018, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 7958, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 5766, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 5268, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 3753, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 2770, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 7231, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: 7734, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 9579, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 8022, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 4269, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 6162, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 8619, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 7648, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 3876, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 7472, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 7718, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 10836, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 8642, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: 4753, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 7852, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 3080, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 9135, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: 7436, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: 2004, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 6892, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: 12658, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 8253, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 8381, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 4576, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 9748, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 10381, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 8171, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: -99, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 11308, Epsilon: 0.0100, Buffer: 100000
Episode 76000/500000, Total Reward: 6382, Epsilon: 0.0100, Buffer: 100000
Episode 77000/500000, Total Reward: 7586, Epsilon: 0.0100, Buffer: 100000
Episode 78000/500000, Total Reward: 9546, Epsilon: 0.0100, Buffer: 100000
Episode 79000/500000, Total Reward: 6428, Epsilon: 0.0100, Buffer: 100000
Episode 80000/500000, Total Reward: 9239, Epsilon: 0.0100, Buffer: 100000
Episode 81000/500000, Total Reward: 7147, Epsilon: 0.0100, Buffer: 100000
Episode 82000/500000, Total Reward: -2589, Epsilon: 0.0100, Buffer: 100000
Episode 83000/500000, Total Reward: 9479, Epsilon: 0.0100, Buffer: 100000
Episode 84000/500000, Total Reward: 8391, Epsilon: 0.0100, Buffer: 100000
Episode 85000/500000, Total Reward: 7184, Epsilon: 0.0100, Buffer: 100000
Episode 86000/500000, Total Reward: 582, Epsilon: 0.0100, Buffer: 100000
Episode 87000/500000, Total Reward: 10916, Epsilon: 0.0100, Buffer: 100000
Episode 88000/500000, Total Reward: 9177, Epsilon: 0.0100, Buffer: 100000
Episode 89000/500000, Total Reward: 9456, Epsilon: 0.0100, Buffer: 100000
Episode 90000/500000, Total Reward: 7010, Epsilon: 0.0100, Buffer: 100000
Episode 91000/500000, Total Reward: 7267, Epsilon: 0.0100, Buffer: 100000
Episode 92000/500000, Total Reward: 11571, Epsilon: 0.0100, Buffer: 100000
Episode 93000/500000, Total Reward: 7847, Epsilon: 0.0100, Buffer: 100000
Episode 94000/500000, Total Reward: 7134, Epsilon: 0.0100, Buffer: 100000
Episode 95000/500000, Total Reward: 568, Epsilon: 0.0100, Buffer: 100000
Episode 96000/500000, Total Reward: 8160, Epsilon: 0.0100, Buffer: 100000
Episode 97000/500000, Total Reward: 7171, Epsilon: 0.0100, Buffer: 100000
Episode 98000/500000, Total Reward: 7595, Epsilon: 0.0100, Buffer: 100000
Episode 99000/500000, Total Reward: 6979, Epsilon: 0.0100, Buffer: 100000
Episode 100000/500000, Total Reward: 7401, Epsilon: 0.0100, Buffer: 100000
Episode 101000/500000, Total Reward: 8764, Epsilon: 0.0100, Buffer: 100000
Episode 102000/500000, Total Reward: 5073, Epsilon: 0.0100, Buffer: 100000
Episode 103000/500000, Total Reward: 7315, Epsilon: 0.0100, Buffer: 100000
Episode 104000/500000, Total Reward: 9209, Epsilon: 0.0100, Buffer: 100000
Episode 105000/500000, Total Reward: 4543, Epsilon: 0.0100, Buffer: 100000
Episode 106000/500000, Total Reward: 7669, Epsilon: 0.0100, Buffer: 100000
Episode 107000/500000, Total Reward: 8074, Epsilon: 0.0100, Buffer: 100000
Episode 108000/500000, Total Reward: 7007, Epsilon: 0.0100, Buffer: 100000
