
--- Run started 2026-02-09 08:40:33 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 52403, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 47315, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 42162, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 48044, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 37791, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 38711, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 40120, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 40993, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 46649, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 40351, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 45843, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 45403, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 51214, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 43361, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 33818, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 36469, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 46772, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 47004, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 41152, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 44501, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 48941, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 49707, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 46744, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 36921, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 44755, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 45815, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 42526, Epsilon: 0.0100, Buffer: 100000
