
--- Run started 2026-02-06 01:58:13 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 42259, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 42643, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 34333, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 45650, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 42166, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 43432, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 39532, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 43319, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 42303, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 20944, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 38913, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 47533, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 43120, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 44356, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 47732, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 36363, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 43347, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 39568, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 42082, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 34740, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 43168, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 50008, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 46168, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 38276, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 45809, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 46363, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 45083, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 47895, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 38772, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 46381, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 48172, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 45747, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 44346, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 45078, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 44889, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 40210, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 40187, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 47188, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 36439, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 42476, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 36478, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 51234, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 44323, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 47005, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 42608, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 49201, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 42581, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: 38885, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 47103, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 41084, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 44646, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 43215, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 48585, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 48340, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 45610, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 48546, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 44819, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 46158, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 48767, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: 45353, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 44614, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 43609, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 41109, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: 41840, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: 41388, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 42454, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: 42773, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 45964, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 42800, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 45881, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 42023, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 40852, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 46526, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: 42188, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 44756, Epsilon: 0.0100, Buffer: 100000
Episode 76000/500000, Total Reward: 41521, Epsilon: 0.0100, Buffer: 100000
Episode 77000/500000, Total Reward: 45239, Epsilon: 0.0100, Buffer: 100000
Episode 78000/500000, Total Reward: 43637, Epsilon: 0.0100, Buffer: 100000
Episode 79000/500000, Total Reward: 38244, Epsilon: 0.0100, Buffer: 100000
Episode 80000/500000, Total Reward: 45618, Epsilon: 0.0100, Buffer: 100000
Episode 81000/500000, Total Reward: 39868, Epsilon: 0.0100, Buffer: 100000
Episode 82000/500000, Total Reward: 37371, Epsilon: 0.0100, Buffer: 100000
Episode 83000/500000, Total Reward: 41679, Epsilon: 0.0100, Buffer: 100000
Episode 84000/500000, Total Reward: 39523, Epsilon: 0.0100, Buffer: 100000
Episode 85000/500000, Total Reward: 51480, Epsilon: 0.0100, Buffer: 100000
Episode 86000/500000, Total Reward: 41958, Epsilon: 0.0100, Buffer: 100000
Episode 87000/500000, Total Reward: 36362, Epsilon: 0.0100, Buffer: 100000
Episode 88000/500000, Total Reward: 48461, Epsilon: 0.0100, Buffer: 100000
Episode 89000/500000, Total Reward: 44482, Epsilon: 0.0100, Buffer: 100000
Episode 90000/500000, Total Reward: 35888, Epsilon: 0.0100, Buffer: 100000
Episode 91000/500000, Total Reward: 35786, Epsilon: 0.0100, Buffer: 100000
Episode 92000/500000, Total Reward: 41376, Epsilon: 0.0100, Buffer: 100000
Episode 93000/500000, Total Reward: 46923, Epsilon: 0.0100, Buffer: 100000
Episode 94000/500000, Total Reward: 50768, Epsilon: 0.0100, Buffer: 100000
Episode 95000/500000, Total Reward: 46186, Epsilon: 0.0100, Buffer: 100000
Episode 96000/500000, Total Reward: 45618, Epsilon: 0.0100, Buffer: 100000
Episode 97000/500000, Total Reward: 42610, Epsilon: 0.0100, Buffer: 100000
Episode 98000/500000, Total Reward: 45075, Epsilon: 0.0100, Buffer: 100000
Episode 99000/500000, Total Reward: 43299, Epsilon: 0.0100, Buffer: 100000
Episode 100000/500000, Total Reward: 47505, Epsilon: 0.0100, Buffer: 100000
Episode 101000/500000, Total Reward: 45578, Epsilon: 0.0100, Buffer: 100000
Episode 102000/500000, Total Reward: 42937, Epsilon: 0.0100, Buffer: 100000
Episode 103000/500000, Total Reward: 49682, Epsilon: 0.0100, Buffer: 100000
Episode 104000/500000, Total Reward: 39845, Epsilon: 0.0100, Buffer: 100000
Episode 105000/500000, Total Reward: 45471, Epsilon: 0.0100, Buffer: 100000
Episode 106000/500000, Total Reward: 44038, Epsilon: 0.0100, Buffer: 100000
Episode 107000/500000, Total Reward: 44019, Epsilon: 0.0100, Buffer: 100000
Episode 108000/500000, Total Reward: 46912, Epsilon: 0.0100, Buffer: 100000
Episode 109000/500000, Total Reward: 44897, Epsilon: 0.0100, Buffer: 100000
Episode 110000/500000, Total Reward: 49039, Epsilon: 0.0100, Buffer: 100000
Episode 111000/500000, Total Reward: 38630, Epsilon: 0.0100, Buffer: 100000
Episode 112000/500000, Total Reward: 40271, Epsilon: 0.0100, Buffer: 100000
Episode 113000/500000, Total Reward: 46693, Epsilon: 0.0100, Buffer: 100000
Episode 114000/500000, Total Reward: 46457, Epsilon: 0.0100, Buffer: 100000
Episode 115000/500000, Total Reward: 44003, Epsilon: 0.0100, Buffer: 100000
Episode 116000/500000, Total Reward: 44986, Epsilon: 0.0100, Buffer: 100000
Episode 117000/500000, Total Reward: 39559, Epsilon: 0.0100, Buffer: 100000
Episode 118000/500000, Total Reward: 38522, Epsilon: 0.0100, Buffer: 100000
Episode 119000/500000, Total Reward: 32294, Epsilon: 0.0100, Buffer: 100000
Episode 120000/500000, Total Reward: 44329, Epsilon: 0.0100, Buffer: 100000
Episode 121000/500000, Total Reward: 37971, Epsilon: 0.0100, Buffer: 100000
Episode 122000/500000, Total Reward: 17539, Epsilon: 0.0100, Buffer: 100000
Episode 123000/500000, Total Reward: 44409, Epsilon: 0.0100, Buffer: 100000
Episode 124000/500000, Total Reward: 46603, Epsilon: 0.0100, Buffer: 100000
Episode 125000/500000, Total Reward: 41508, Epsilon: 0.0100, Buffer: 100000
Episode 126000/500000, Total Reward: 46254, Epsilon: 0.0100, Buffer: 100000
Episode 127000/500000, Total Reward: 49726, Epsilon: 0.0100, Buffer: 100000
Episode 128000/500000, Total Reward: 33307, Epsilon: 0.0100, Buffer: 100000
Episode 129000/500000, Total Reward: 49243, Epsilon: 0.0100, Buffer: 100000
Episode 130000/500000, Total Reward: 43803, Epsilon: 0.0100, Buffer: 100000
Episode 131000/500000, Total Reward: 37822, Epsilon: 0.0100, Buffer: 100000
Episode 132000/500000, Total Reward: 41202, Epsilon: 0.0100, Buffer: 100000
Episode 133000/500000, Total Reward: 46563, Epsilon: 0.0100, Buffer: 100000
Episode 134000/500000, Total Reward: 43486, Epsilon: 0.0100, Buffer: 100000
Episode 135000/500000, Total Reward: 43738, Epsilon: 0.0100, Buffer: 100000
Episode 136000/500000, Total Reward: 43861, Epsilon: 0.0100, Buffer: 100000
Episode 137000/500000, Total Reward: 41169, Epsilon: 0.0100, Buffer: 100000
Episode 138000/500000, Total Reward: 38859, Epsilon: 0.0100, Buffer: 100000
Episode 139000/500000, Total Reward: 44527, Epsilon: 0.0100, Buffer: 100000
Episode 140000/500000, Total Reward: 46702, Epsilon: 0.0100, Buffer: 100000
Episode 141000/500000, Total Reward: 43910, Epsilon: 0.0100, Buffer: 100000
Episode 142000/500000, Total Reward: 39978, Epsilon: 0.0100, Buffer: 100000
Episode 143000/500000, Total Reward: 48489, Epsilon: 0.0100, Buffer: 100000
Episode 144000/500000, Total Reward: 50211, Epsilon: 0.0100, Buffer: 100000
Episode 145000/500000, Total Reward: 46345, Epsilon: 0.0100, Buffer: 100000
Episode 146000/500000, Total Reward: 46290, Epsilon: 0.0100, Buffer: 100000
Episode 147000/500000, Total Reward: 41016, Epsilon: 0.0100, Buffer: 100000
Episode 148000/500000, Total Reward: 21768, Epsilon: 0.0100, Buffer: 100000
Episode 149000/500000, Total Reward: 49777, Epsilon: 0.0100, Buffer: 100000
Episode 150000/500000, Total Reward: 46300, Epsilon: 0.0100, Buffer: 100000
Episode 151000/500000, Total Reward: 43995, Epsilon: 0.0100, Buffer: 100000
Episode 152000/500000, Total Reward: 38241, Epsilon: 0.0100, Buffer: 100000
Episode 153000/500000, Total Reward: 41835, Epsilon: 0.0100, Buffer: 100000
Episode 154000/500000, Total Reward: 40601, Epsilon: 0.0100, Buffer: 100000
Episode 155000/500000, Total Reward: 40117, Epsilon: 0.0100, Buffer: 100000
Episode 156000/500000, Total Reward: 42381, Epsilon: 0.0100, Buffer: 100000
