
--- Run started 2026-02-02 03:08:46 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 8221, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 13767, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 12837, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 18371, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 8450, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 11106, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 2657, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 9551, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 10677, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 15866, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 10503, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 7121, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 3704, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 13944, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 13768, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 14024, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: -239, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: -1083, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 16100, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: -6413, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: -4306, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 13452, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: -4500, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 3784, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 16630, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 6825, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 9263, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 16082, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 15733, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 13460, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 6235, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 20111, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 282, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 24438, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: -1104, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 8773, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 11637, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 11871, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 10939, Epsilon: 0.0100, Buffer: 100000
