
--- Run started 2026-02-10 14:03:38 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 45726, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 161, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 42621, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 53331, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 49338, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 42441, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 46675, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 37970, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 47563, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 49624, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 50236, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 58138, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 42759, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 42530, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 50453, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 61121, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 36708, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 59568, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 51970, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 28215, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 50821, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 55702, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 53798, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: -147, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 57732, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 43798, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 41847, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 55569, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 50369, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 46932, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 42486, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 44129, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 50174, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 37299, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 41182, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 35288, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 54114, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 47818, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 48331, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 50971, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 50039, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 50374, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 37491, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 45941, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 45372, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 50281, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 42594, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: 27224, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 53253, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 37833, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 50467, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 51037, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 46655, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 42606, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 27344, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 49116, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 39569, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 50640, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 49442, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: 36907, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 46174, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 45201, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 40836, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: 51779, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: 37846, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 58654, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: 38976, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 29049, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 47825, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 43769, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 38197, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 45103, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 40843, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: 41868, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 45200, Epsilon: 0.0100, Buffer: 100000
