category,lean,weight_class,price_low,price_high,price_avg,date,source_pdf
Boner,,500 lbs and up,235.75,239.75,238.35,2024-11-05,ams_2957_00058.pdf
Boner,,Under 500 lbs,220.94,227.06,224.56,2024-11-05,ams_2957_00058.pdf
Breaker,,500 lbs and up,231.4,235.44,233.63,2024-11-05,ams_2957_00058.pdf
Breaker,,Under 500 lbs,213.0,218.57,215.51,2024-11-05,ams_2957_00058.pdf
Cutter,,500 lbs and up,239.42,243.13,241.91,2024-11-05,ams_2957_00058.pdf
Cutter,,Under 500 lbs,215.21,236.77,230.57,2024-11-05,ams_2957_00058.pdf
Boner,,500 lbs and up,226.28,231.52,229.73,2024-12-04,ams_2957_00059.pdf
Boner,,Under 500 lbs,212.04,218.73,216.16,2024-12-04,ams_2957_00059.pdf
Breaker,,500 lbs and up,219.47,229.08,224.68,2024-12-04,ams_2957_00059.pdf
Breaker,,Under 500 lbs,201.4,218.67,203.87,2024-12-04,ams_2957_00059.pdf
Cutter,,500 lbs and up,229.5,235.47,232.92,2024-12-04,ams_2957_00059.pdf
Cutter,,Under 500 lbs,202.05,228.52,221.74,2024-12-04,ams_2957_00059.pdf
Boner,,500 lbs and up,223.75,225.35,224.76,2025-01-03,ams_2957_00060.pdf
Boner,,Under 500 lbs,210.27,213.27,212.1,2025-01-03,ams_2957_00060.pdf
Breaker,,500 lbs and up,218.18,223.76,221.07,2025-01-03,ams_2957_00060.pdf
Breaker,,Under 500 lbs,199.28,209.28,203.74,2025-01-03,ams_2957_00060.pdf
Cutter,,500 lbs and up,227.73,229.0,228.36,2025-01-03,ams_2957_00060.pdf
Cutter,,Under 500 lbs,205.82,223.34,217.96,2025-01-03,ams_2957_00060.pdf
Boner,,500 lbs and up,228.3,250.63,239.29,2025-02-05,ams_2957_00061.pdf
Boner,,Under 500 lbs,214.33,231.36,223.27,2025-02-05,ams_2957_00061.pdf
Breaker,,500 lbs and up,223.73,237.35,230.28,2025-02-05,ams_2957_00061.pdf
Breaker,,Under 500 lbs,206.99,215.66,212.38,2025-02-05,ams_2957_00061.pdf
Cutter,,500 lbs and up,229.2,251.75,239.73,2025-02-05,ams_2957_00061.pdf
Cutter,,Under 500 lbs,210.79,248.41,231.44,2025-02-05,ams_2957_00061.pdf
Boner,,500 lbs and up,256.83,267.44,260.58,2025-03-06,ams_2957_00062.pdf
Boner,,Under 500 lbs,238.24,255.93,244.64,2025-03-06,ams_2957_00062.pdf
Breaker,,500 lbs and up,243.12,260.23,250.96,2025-03-06,ams_2957_00062.pdf
Breaker,,Under 500 lbs,219.04,243.36,231.41,2025-03-06,ams_2957_00062.pdf
Cutter,,500 lbs and up,257.89,271.1,263.01,2025-03-06,ams_2957_00062.pdf
Cutter,,Under 500 lbs,232.98,268.52,252.48,2025-03-06,ams_2957_00062.pdf
Boner,,500 lbs and up,266.22,268.53,267.55,2025-04-04,ams_2957_00063.pdf
Boner,,Under 500 lbs,254.67,257.01,256.05,2025-04-04,ams_2957_00063.pdf
Breaker,,500 lbs and up,257.66,261.16,259.28,2025-04-04,ams_2957_00063.pdf
Breaker,,Under 500 lbs,245.1,247.64,246.08,2025-04-04,ams_2957_00063.pdf
Cutter,,500 lbs and up,271.1,273.95,272.65,2025-04-04,ams_2957_00063.pdf
Cutter,,Under 500 lbs,248.42,271.72,264.18,2025-04-04,ams_2957_00063.pdf
Boner,,500 lbs and up,268.24,270.14,269.44,2025-05-02,ams_2957_00064.pdf
Boner,,Under 500 lbs,256.29,258.75,257.93,2025-05-02,ams_2957_00064.pdf
Breaker,,500 lbs and up,260.28,264.1,262.2,2025-05-02,ams_2957_00064.pdf
Breaker,,Under 500 lbs,249.47,250.82,250.12,2025-05-02,ams_2957_00064.pdf
Cutter,,500 lbs and up,275.44,278.78,276.77,2025-05-02,ams_2957_00064.pdf
Cutter,,Under 500 lbs,252.61,275.18,267.82,2025-05-02,ams_2957_00064.pdf
Boner,,500 lbs and up,276.58,283.95,281.03,2025-06-05,ams_2957_00065.pdf
Boner,,Under 500 lbs,258.87,261.69,260.86,2025-06-05,ams_2957_00065.pdf
Breaker,,500 lbs and up,268.61,274.1,272.07,2025-06-05,ams_2957_00065.pdf
Breaker,,Under 500 lbs,250.78,254.51,251.84,2025-06-05,ams_2957_00065.pdf
Cutter,,500 lbs and up,283.58,289.25,286.29,2025-06-05,ams_2957_00065.pdf
Cutter,,Under 500 lbs,256.25,283.81,273.38,2025-06-05,ams_2957_00065.pdf
Boner,,500 lbs and up,285.35,290.47,288.4,2025-07-07,ams_2957_00066.pdf
Boner,,Under 500 lbs,264.96,279.25,272.06,2025-07-07,ams_2957_00066.pdf
Breaker,,500 lbs and up,276.01,280.07,278.18,2025-07-07,ams_2957_00066.pdf
Breaker,,Under 500 lbs,253.49,266.41,260.47,2025-07-07,ams_2957_00066.pdf
Cutter,,500 lbs and up,288.8,293.47,291.48,2025-07-07,ams_2957_00066.pdf
Cutter,,Under 500 lbs,260.24,294.17,281.27,2025-07-07,ams_2957_00066.pdf
Boner,,500 lbs and up,291.19,307.17,300.23,2025-08-04,ams_2957_00067.pdf
Boner,,Under 500 lbs,277.44,296.74,288.45,2025-08-04,ams_2957_00067.pdf
Breaker,,500 lbs and up,283.86,297.59,292.07,2025-08-04,ams_2957_00067.pdf
Breaker,,Under 500 lbs,265.74,282.75,276.25,2025-08-04,ams_2957_00067.pdf
Cutter,,500 lbs and up,294.84,335.1,301.36,2025-08-04,ams_2957_00067.pdf
Cutter,,Under 500 lbs,268.57,300.39,290.21,2025-08-04,ams_2957_00067.pdf
Boner,,500 lbs and up,307.84,313.2,310.16,2025-09-04,ams_2957_00068.pdf
Boner,,Under 500 lbs,295.06,301.45,298.62,2025-09-04,ams_2957_00068.pdf
Breaker,,500 lbs and up,292.47,297.32,294.37,2025-09-04,ams_2957_00068.pdf
Breaker,,Under 500 lbs,276.32,287.48,277.37,2025-09-04,ams_2957_00068.pdf
Cutter,,500 lbs and up,304.67,313.54,309.5,2025-09-04,ams_2957_00068.pdf
Cutter,,Under 500 lbs,280.91,308.35,299.74,2025-09-04,ams_2957_00068.pdf
Boner,,500 lbs and up,307.06,313.81,311.46,2025-10-06,ams_2957_00069.pdf
Boner,,Under 500 lbs,294.32,300.58,298.15,2025-10-06,ams_2957_00069.pdf
Breaker,,500 lbs and up,292.89,297.25,295.41,2025-10-06,ams_2957_00069.pdf
Breaker,,Under 500 lbs,272.04,276.86,274.75,2025-10-06,ams_2957_00069.pdf
Cutter,,500 lbs and up,308.87,316.15,313.57,2025-10-06,ams_2957_00069.pdf
Cutter,,Under 500 lbs,285.47,312.21,303.68,2025-10-06,ams_2957_00069.pdf
