date,classII_milk,replacement_fresh_cow,calves_bulls_no1,calves_bulls_no2,calves_heifers_no1,calves_heifers_no2,source_pdf
2024-11-05,21.01,22.85,531.03,531.03,646.41,646.41,ams_2957_00058.pdf
2024-12-04,21.52,2488.56,586.63,586.63,600.26,600.26,ams_2957_00059.pdf
2025-01-03,21.28,18.62,631.62,631.62,599.47,599.47,ams_2957_00060.pdf
2025-02-05,21.58,20.34,651.84,651.84,588.25,588.25,ams_2957_00061.pdf
2025-03-06,21.08,2920.19,713.33,713.33,569.91,569.91,ams_2957_00062.pdf
2025-04-04,20.12,18.62,773.17,773.17,790.16,790.16,ams_2957_00063.pdf
2025-05-02,19.22,17.48,888.39,888.39,790.51,790.51,ams_2957_00064.pdf
2025-06-05,18.72,3020.55,920.96,920.96,855.96,855.96,ams_2957_00065.pdf
2025-07-07,18.43,18.82,963.84,963.84,845.83,845.83,ams_2957_00066.pdf
2025-08-04,19.31,17.32,919.21,919.21,801.5,801.5,ams_2957_00067.pdf
2025-09-04,19.18,17.24,964.03,964.03,930.28,930.28,ams_2957_00068.pdf
2025-10-06,17.39,2600.0,1108.03,1108.03,886.61,886.61,ams_2957_00069.pdf
