--- Overall Annual Culling Rates (%) ---
Category,2025 Baseline,"Oversupply, Good","Oversupply, Bad","Undersupply, Good","Undersupply, Bad"
Total,34.7,26.1,24.5,26.1,26.3
Voluntary,31.4,22.3,20.4,22.4,22.5
Death,3.2,3.8,3.7,3.6,3.5
Involuntary,0.1,0.1,0.4,0.2,0.3

--- Per-Parity Annual Culling Rate: Total (%) ---
Parity,2025 Baseline,"Oversupply, Good","Oversupply, Bad","Undersupply, Good","Undersupply, Bad"
Springer,0.0,48.0,3.4,0.0,0.0
1,23.1,14.2,11.3,12.2,10.0
2,30.1,19.3,18.4,21.0,19.2
3,36.8,21.7,21.8,25.3,27.6
4,38.3,22.4,23.8,26.2,30.3
5,42.7,27.4,28.1,31.6,33.9
6,53.6,37.0,37.5,40.0,44.2
7,70.0,46.3,47.2,48.9,55.2
8,101.8,60.3,60.2,65.7,78.2
9,163.8,86.5,85.3,87.6,108.4
10,237.6,134.8,128.3,134.0,179.5
11,441.1,211.3,200.2,204.0,343.9
12,655.5,435.6,419.9,385.0,720.2
