Parity,Early (0-100 DIM) ($),SE,Mid (100-200 DIM) ($),SE,Late (200-305 DIM) ($),SE,Extended (>=305 DIM) ($),SE
1,340,39,361,7,292,9,185,8
2,431,19,380,8,280,11,172,8
3,451,20,391,10,286,12,162,9
4,444,22,395,11,286,14,148,10
5,437,18,395,11,290,14,144,11
6,430,16,393,11,289,14,141,12
7,431,17,382,13,275,14,132,12
8,432,17,373,13,266,13,125,13
9,426,14,361,14,259,11,125,13
10,424,10,348,16,256,10,126,14
11,423,7,341,16,253,9,124,14
12,422,5,331,16,246,9,118,14
Average,424,,371,,273,,142,
