Parity,Early (0-100 DIM) ($),SE,Mid (100-200 DIM) ($),SE,Late (200-305 DIM) ($),SE,Extended (>=305 DIM) ($),SE
1,487,34,503,7,463,11,360,12
2,597,26,526,13,449,15,356,14
3,623,28,533,11,444,14,355,14
4,656,27,544,12,448,15,353,14
5,642,24,548,11,450,15,352,14
6,644,23,544,11,451,15,351,14
7,635,25,538,13,455,16,349,14
8,620,30,537,15,455,16,347,13
9,601,30,534,18,450,17,340,13
10,587,35,532,20,444,17,324,13
11,573,41,536,21,441,16,306,12
12,568,43,537,21,434,13,298,11
Average,603,,534,,449,,341,
