Parity,Early (0-100 DIM) ($),SE,Mid (100-200 DIM) ($),SE,Late (200-305 DIM) ($),SE,Extended (>=305 DIM) ($),SE
1,390,45,391,19,302,11,185,10
2,494,41,432,16,336,10,198,11
3,542,44,476,18,358,12,206,11
4,539,38,477,15,369,11,222,11
5,524,36,471,13,374,10,223,11
6,500,34,465,10,376,9,221,11
7,480,33,459,8,374,8,219,11
8,454,32,452,8,368,8,215,11
9,424,30,426,7,352,9,212,10
10,395,21,400,7,321,10,198,10
11,365,16,373,10,303,13,180,10
12,355,21,342,12,279,15,165,10
Average,455,,430,,343,,204,
