--- Per-Parity Annual Culling Rate: Voluntary (%) ---
Parity,2025 Baseline,"Oversupply, Good","Oversupply, Bad","Undersupply, Good","Undersupply, Bad"
Springer,0.0,48.0,3.4,0.0,0.0
1,21.0,12.2,7.8,10.0,7.1
2,27.4,16.5,15.7,18.2,16.4
3,32.9,17.8,18.1,21.4,24.1
4,33.8,17.5,19.2,21.6,25.4
5,37.9,22.4,22.9,26.7,29.3
6,47.2,29.9,29.7,33.9,37.0
7,63.6,39.7,40.0,42.5,48.8
8,95.5,52.9,54.2,58.0,71.9
9,157.7,79.6,78.8,81.4,102.1
10,232.7,126.7,123.4,126.5,174.0
11,436.6,204.3,192.8,196.6,334.0
12,590.4,385.9,376.2,320.4,652.8

--- Per-Parity Annual Culling Rate: Death (%) ---
Parity,2025 Baseline,"Oversupply, Good","Oversupply, Bad","Undersupply, Good","Undersupply, Bad"
Springer,0.0,0.0,0.0,0.0,0.0
1,2.1,2.0,2.2,2.1,2.1
2,2.8,2.8,2.7,2.8,2.8
3,3.9,3.8,3.7,4.0,3.5
4,4.5,4.9,4.6,4.6,5.0
5,4.8,5.0,5.1,4.8,4.6
6,6.3,7.1,7.8,6.1,7.2
7,6.4,6.6,7.2,6.4,6.4
8,6.4,7.4,6.0,7.7,6.3
9,6.1,6.9,6.5,6.2,6.4
10,4.9,8.1,4.9,7.5,5.5
11,4.5,7.0,7.4,7.4,9.9
12,2.8,4.2,11.3,5.1,9.9

--- Per-Parity Annual Culling Rate: Involuntary (%) ---
Parity,2025 Baseline,"Oversupply, Good","Oversupply, Bad","Undersupply, Good","Undersupply, Bad"
Springer,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.2,0.1,0.8
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,62.3,45.5,32.5,59.5,57.5

