Parity,Conceived MAC 3 ($),SE,Conceived MAC 4 ($),SE,Conceived MAC 5 ($),SE,Conceived MAC 6 ($),SE,Conceived MAC 7 ($),SE,Conceived MAC 8 ($),SE,Conceived MAC 9 ($),SE,Conceived MAC 10 ($),SE
1,357,21,386,21,415,18,438,20,465,31,498,32,551,34,601,28
2,399,5,403,5,389,8,382,18,398,35,416,41,444,52,481,58
3,365,11,353,11,338,19,321,32,320,41,335,46,374,54,419,57
4,379,17,359,19,335,27,316,41,318,41,332,47,357,49,395,49
5,374,2,347,11,322,28,311,41,311,40,331,44,366,49,391,46
6,360,4,323,16,298,30,294,33,301,33,324,38,343,41,360,31
7,296,8,263,22,255,36,266,37,290,39,303,39,312,40,332,30
8,244,18,220,28,221,35,237,36,259,42,281,41,290,35,304,25
9,213,22,203,37,207,36,218,38,233,41,254,35,267,29,274,24
10,201,32,192,41,196,41,207,40,213,33,229,26,229,21,236,18
11,200,32,192,37,197,37,203,29,206,22,214,17,209,16,208,15
12,193,25,195,30,199,29,198,20,196,12,199,12,195,16,194,17
Average,298,,286,,281,,283,,292,,310,,328,,350,
