Parity,Conceived MAC 3 ($),SE,Conceived MAC 4 ($),SE,Conceived MAC 5 ($),SE,Conceived MAC 6 ($),SE,Conceived MAC 7 ($),SE,Conceived MAC 8 ($),SE,Conceived MAC 9 ($),SE,Conceived MAC 10 ($),SE
1,226,18,271,17,322,16,376,17,442,18,525,16,609,16,701,22
2,301,15,343,19,380,17,422,17,467,17,521,23,585,29,661,27
3,308,15,347,14,379,13,416,10,460,11,506,17,564,21,626,22
4,315,12,342,8,365,9,398,11,439,13,487,16,542,16,596,15
5,318,13,345,10,364,11,392,15,429,21,475,21,525,21,578,24
6,321,11,339,5,355,6,380,11,415,17,457,21,509,27,567,26
7,323,11,333,3,344,4,361,10,389,16,434,25,494,31,542,23
8,312,10,321,6,324,4,336,6,369,15,417,27,475,33,512,18
9,280,7,280,3,282,2,301,8,337,14,380,22,437,32,464,16
10,242,1,230,2,238,6,261,7,294,13,343,22,398,33,427,13
11,174,3,174,8,185,6,211,6,259,12,310,27,358,24,384,14
12,106,1,105,4,122,1,157,7,205,18,263,28,308,18,350,22
Average,269,,286,,305,,334,,375,,426,,484,,534,
