Parity,Conceived MAC 3 ($),SE,Conceived MAC 4 ($),SE,Conceived MAC 5 ($),SE,Conceived MAC 6 ($),SE,Conceived MAC 7 ($),SE,Conceived MAC 8 ($),SE,Conceived MAC 9 ($),SE,Conceived MAC 10 ($),SE
1,287,8,329,14,387,6,462,7,562,15,670,36,785,56,910,62
2,393,17,445,20,507,19,568,20,634,30,704,46,786,64,864,75
3,446,22,495,14,541,20,592,22,640,33,700,49,767,69,831,75
4,441,23,495,16,543,26,592,25,634,38,687,57,742,73,803,83
5,459,17,497,9,532,21,569,28,600,41,640,59,686,78,721,81
6,463,19,485,14,515,26,546,34,571,50,609,68,651,82,685,79
7,452,25,465,20,492,30,511,41,536,57,574,75,606,83,642,72
8,437,25,448,25,470,38,485,47,502,62,537,76,559,74,577,68
9,381,30,395,36,415,50,438,60,470,73,500,77,507,70,515,70
10,330,34,341,44,361,55,380,67,405,76,431,72,441,62,447,60
11,282,42,290,47,302,53,309,59,325,65,346,57,365,47,359,35
12,243,37,237,39,236,44,230,49,243,50,250,32,256,24,254,22
Average,385,,410,,442,,473,,510,,554,,596,,634,
