Parity,Conceived MAC 3 ($),SE,Conceived MAC 4 ($),SE,Conceived MAC 5 ($),SE,Conceived MAC 6 ($),SE,Conceived MAC 7 ($),SE,Conceived MAC 8 ($),SE,Conceived MAC 9 ($),SE,Conceived MAC 10 ($),SE
1,462,20,532,26,617,30,711,35,820,36,941,30,1055,27,1161,21
2,519,13,566,17,623,22,691,28,761,31,837,33,920,35,1014,34
3,508,22,544,19,589,22,639,31,702,35,777,36,841,38,919,39
4,491,15,521,13,557,16,606,31,669,36,741,39,809,36,881,39
5,477,12,510,9,542,18,594,25,655,31,720,32,776,35,838,35
6,472,12,490,9,515,15,563,21,617,26,670,35,725,37,783,37
7,464,13,481,10,504,13,549,20,598,30,646,37,701,37,764,36
8,462,10,471,4,490,5,526,11,567,24,613,31,668,27,723,21
9,434,3,436,4,449,7,473,2,499,5,528,5,577,5,619,13
10,383,1,377,4,379,4,388,3,409,3,436,0,472,3,531,14
11,335,1,323,3,318,0,323,5,340,9,369,8,411,11,476,20
12,287,3,276,0,268,7,271,15,294,17,316,17,362,24,416,33
Average,441,,461,,488,,528,,577,,633,,693,,760,
