Parity,Conceived MAC 3 ($),SE,Conceived MAC 4 ($),SE,Conceived MAC 5 ($),SE,Conceived MAC 6 ($),SE,Conceived MAC 7 ($),SE,Conceived MAC 8 ($),SE,Conceived MAC 9 ($),SE,Conceived MAC 10 ($),SE
1,552,40,653,40,738,38,840,34,949,38,1067,37,1171,28,1243,13
2,643,30,728,24,791,18,850,14,909,17,978,27,1050,32,1111,21
3,656,32,706,26,749,19,801,17,866,21,942,32,1009,34,1066,24
4,627,23,681,18,726,10,767,14,823,18,879,25,930,22,966,17
5,628,21,657,16,688,13,724,20,777,21,829,23,869,17,888,14
6,598,8,620,7,645,12,675,17,718,22,757,20,790,19,807,29
7,591,2,605,5,628,8,653,14,680,23,705,20,728,25,730,29
8,597,2,606,12,614,16,624,19,628,18,648,18,657,25,663,22
9,574,13,575,22,576,20,571,20,573,24,580,28,579,27,583,23
10,487,11,483,15,473,15,470,23,469,32,467,38,470,20,463,12
11,410,4,406,4,400,3,394,8,388,19,385,18,371,1,354,15
12,366,3,370,2,364,1,358,3,347,11,334,2,303,21,271,22
Average,561,,591,,616,,644,,677,,714,,744,,762,
