file,scenario,seed,seconds,hours,avg_reward_last1000
DQN_prod_2025_seed1024_results.tar.gz,2025,1024,68474.50,19.02,46809.05
DQN_prod_2025_seed123_results.tar.gz,2025,123,73964.64,20.55,47131.99
DQN_prod_2025_seed42_results.tar.gz,2025,42,184885.78,51.36,47038.65
DQN_prod_2025_seed456_results.tar.gz,2025,456,65125.34,18.09,47086.96
DQN_prod_2025_seed789_results.tar.gz,2025,789,80921.37,22.48,47192.66
DQN_prod_OB_seed1024_results.tar.gz,OB,1024,53704.45,14.92,15549.30
DQN_prod_OB_seed123_results.tar.gz,OB,123,63780.33,17.72,15482.14
DQN_prod_OB_seed42_results.tar.gz,OB,42,71351.19,19.82,15386.90
DQN_prod_OB_seed456_results.tar.gz,OB,456,195600.03,54.33,15154.98
DQN_prod_OB_seed789_results.tar.gz,OB,789,74034.44,20.57,15470.25
DQN_prod_OG_seed1024_results.tar.gz,OG,1024,92139.10,25.59,57000.10
DQN_prod_OG_seed123_results.tar.gz,OG,123,75457.87,20.96,57153.56
DQN_prod_OG_seed42_results.tar.gz,OG,42,70089.23,19.47,57295.10
DQN_prod_OG_seed456_results.tar.gz,OG,456,73981.11,20.55,57041.26
DQN_prod_OG_seed789_results.tar.gz,OG,789,75179.61,20.88,57170.54
DQN_prod_UB_seed1024_results.tar.gz,UB,1024,60900.49,16.92,26387.57
DQN_prod_UB_seed123_results.tar.gz,UB,123,67993.52,18.89,26461.21
DQN_prod_UB_seed42_results.tar.gz,UB,42,56247.47,15.62,26746.51
DQN_prod_UB_seed456_results.tar.gz,UB,456,60621.84,16.84,26636.68
DQN_prod_UB_seed789_results.tar.gz,UB,789,75764.84,21.05,26655.96
DQN_prod_UG_seed1024_results.tar.gz,UG,1024,60908.29,16.92,67991.67
DQN_prod_UG_seed123_results.tar.gz,UG,123,72552.76,20.15,67713.16
DQN_prod_UG_seed42_results.tar.gz,UG,42,55233.22,15.34,67667.41
DQN_prod_UG_seed456_results.tar.gz,UG,456,75848.55,21.07,67713.42
DQN_prod_UG_seed789_results.tar.gz,UG,789,61823.08,17.17,67758.91
